bri,mired,watt
1,153,0.79
1,163,0.8
1,173,0.82
1,183,0.83
1,193,0.84
1,203,0.86
1,213,0.88
1,223,0.88
1,233,0.89
1,243,0.88
1,253,0.87
1,263,0.86
1,273,0.86
1,283,0.84
1,293,0.84
1,303,0.82
1,313,0.81
1,323,0.81
1,333,0.81
1,343,0.79
1,353,0.79
1,363,0.77
1,370,0.78
6,153,0.78
6,163,0.8
6,173,0.81
6,183,0.83
6,193,0.85
6,203,0.86
6,213,0.86
6,223,0.87
6,233,0.89
6,243,0.89
6,253,0.88
6,263,0.86
6,273,0.85
6,283,0.84
6,293,0.84
6,303,0.83
6,313,0.81
6,323,0.8
6,333,0.8
6,343,0.79
6,353,0.79
6,363,0.78
6,370,0.78
11,153,0.79
11,163,0.8
11,173,0.82
11,183,0.83
11,193,0.84
11,203,0.86
11,213,0.86
11,223,0.87
11,233,0.88
11,243,0.89
11,253,0.88
11,263,0.86
11,273,0.85
11,283,0.84
11,293,0.84
11,303,0.83
11,313,0.81
11,323,0.81
11,333,0.8
11,343,0.79
11,353,0.79
11,363,0.79
11,370,0.78
16,153,0.78
16,163,0.79
16,173,0.82
16,183,0.84
16,193,0.84
16,203,0.85
16,213,0.87
16,223,0.88
16,233,0.89
16,243,0.88
16,253,0.87
16,263,0.86
16,273,0.85
16,283,0.84
16,293,0.83
16,303,0.83
16,313,0.82
16,323,0.81
16,333,0.8
16,343,0.79
16,353,0.79
16,363,0.78
16,370,0.78
21,153,0.78
21,163,0.79
21,173,0.82
21,183,0.83
21,193,0.85
21,203,0.85
21,213,0.87
21,223,0.87
21,233,0.88
21,243,0.88
21,253,0.87
21,263,0.86
21,273,0.85
21,283,0.85
21,293,0.83
21,303,0.82
21,313,0.82
21,323,0.81
21,333,0.8
21,343,0.78
21,353,0.8
21,363,0.78
21,370,0.78
26,153,0.78
26,163,0.8
26,173,0.82
26,183,0.83
26,193,0.85
26,203,0.85
26,213,0.87
26,223,0.88
26,233,0.89
26,243,0.88
26,253,0.87
26,263,0.87
26,273,0.85
26,283,0.84
26,293,0.84
26,303,0.83
26,313,0.82
26,323,0.81
26,333,0.81
26,343,0.8
26,353,0.78
26,363,0.78
26,370,0.78
31,153,0.82
31,163,0.84
31,173,0.86
31,183,0.88
31,193,0.89
31,203,0.91
31,213,0.92
31,223,0.93
31,233,0.94
31,243,0.95
31,253,0.93
31,263,0.92
31,273,0.91
31,283,0.9
31,293,0.87
31,303,0.87
31,313,0.86
31,323,0.84
31,333,0.85
