bri,mired,watt
1,153,0.65
1,163,0.65
1,173,0.75
1,183,0.65
1,193,0.7
1,203,0.65
1,213,0.65
1,223,0.75
1,233,0.6
1,243,0.75
1,253,0.7
1,263,0.6
1,273,0.7
1,283,0.6
1,293,0.6
1,303,0.7
1,313,0.7
1,323,0.6
1,333,0.65
1,343,0.6
1,353,0.8
1,363,0.65
1,370,0.65
6,153,0.8
6,163,0.65
6,173,0.65
6,183,0.75
6,193,0.7
6,203,0.7
6,213,0.65
6,223,0.55
6,233,0.75
6,243,0.7
6,253,0.7
6,263,0.7
6,273,0.65
6,283,0.8
6,293,0.7
6,303,0.65
6,313,0.75
6,323,0.65
6,333,0.75
6,343,0.65
6,353,0.7
6,363,0.6
6,370,0.75
11,153,0.7
11,163,0.65
11,173,0.7
11,183,0.7
11,193,0.8
11,203,0.6
11,213,0.65
11,223,0.7
11,233,0.65
11,243,0.75
11,253,0.65
11,263,0.65
11,273,0.65
11,283,0.65
11,293,0.65
11,303,0.6
11,313,0.65
11,323,0.7
11,333,0.65
11,343,0.65
11,353,0.65
11,363,0.55
11,370,0.8
16,153,0.6
16,163,0.55
16,173,0.65
16,183,0.8
16,193,0.6
16,203,0.6
16,213,0.75
16,223,0.6
16,233,0.7
16,243,0.6
16,253,0.65
16,263,0.65
16,273,0.75
16,283,0.65
16,293,0.7
16,303,0.7
16,313,0.65
16,323,0.65
16,333,0.65
16,343,0.7
16,353,0.6
16,363,0.65
16,370,0.65
21,153,0.65
21,163,0.65
21,173,0.65
21,183,0.75
21,193,0.75
21,203,0.65
21,213,0.7
21,223,0.65
21,233,0.65
21,243,0.7
21,253,0.6
21,263,0.75
21,273,0.7
21,283,0.75
21,293,0.65
21,303,0.7
21,313,0.8
21,323,0.75
21,333,0.7
21,343,0.65
21,353,0.65
21,363,0.7
21,370,0.65
26,153,0.6
26,163,0.75
26,173,0.7
26,183,0.7
26,193,0.75
26,203,0.7
26,213,0.65
26,223,0.6
26,233,0.7
26,243,0.7
26,253,0.65
26,263,0.6
26,273,0.7
26,283,0.75
26,293,0.8
26,303,0.7
26,313,0.65
26,323,0.7
26,333,0.7
26,343,0.65
26,353,0.65
26,363,0.65
26,370,0.75
31,153,0.7
31,163,0.7
31,173,0.65
31,183,0.7
31,193,0.7
31,203,0.8
31,213,0.75
31,223,0.6
31,233,0.7
31,243,0.8
31,253,0.75
31,263,0.75
31,273,0.7
31,283,0.6
31,293,0.65
31,303,0.75
31,313,0.75
31,323,0.7
31,333,0.65
31,343,0.8
31,353,0.7
31,363,0.7
31,370,0.8
36,153,0.85
36,163,0.8
36,173,0.8
36,183,0.8
36,193,0.7
36,203,0.85
36,213,0.7
36,223,0.7
36,233,0.8
36,243,0.75
36,253,0.75
36,263,0.7
36,273,0.8
36,283,0.75
36,293,0.75
36,303,0.8
36,313,0.75
36,323,0.8
36,333,0.75
36,343,0.7
36,353,0.8
36,363,0.65
36,370,0.6
41,153,0.85
41,163,0.75
