bri,hue,sat,watt
1,1,1,1.1
1,2732,1,1.1
1,5463,1,1.07
1,8194,1,1.11
1,10925,1,1.11
1,13656,1,1.11
1,16387,1,1.09
1,19118,1,1.11
1,21849,1,1.12
1,24580,1,1.1
1,27311,1,1.11
1,30042,1,1.11
1,32773,1,1.12
1,35504,1,1.1
1,38235,1,1.12
1,40966,1,1.1
1,43697,1,1.09
1,46428,1,1.1
1,49159,1,1.1
1,51890,1,1.11
1,54621,1,1.11
1,57352,1,1.12
1,60083,1,1.1
1,62814,1,1.11
1,65535,1,1.12
1,1,33,1.11
1,2732,33,1.11
1,5463,33,1.11
1,8194,33,1.11
1,10925,33,1.11
1,13656,33,1.2
1,16387,33,1.21
1,19118,33,1.19
1,21849,33,1.19
1,24580,33,1.19
1,27311,33,1.18
1,30042,33,1.19
1,32773,33,1.17
1,35504,33,1.18
1,38235,33,1.16
1,40966,33,1.16
1,43697,33,1.15
1,46428,33,1.18
1,49159,33,1.15
1,51890,33,1.16
1,54621,33,1.14
1,57352,33,1.16
1,60083,33,1.16
1,62814,33,1.16
1,65535,33,1.16
1,1,65,1.14
1,2732,65,1.14
1,5463,65,1.15
1,8194,65,1.15
1,10925,65,1.14
1,13656,65,1.16
1,16387,65,1.18
1,19118,65,1.2
1,21849,65,1.18
1,24580,65,1.16
1,27311,65,1.19
1,30042,65,1.15
1,32773,65,1.16
1,35504,65,1.15
1,38235,65,1.15
1,40966,65,1.16
1,43697,65,1.14
1,46428,65,1.12
1,49159,65,1.15
1,51890,65,1.12
1,54621,65,1.12
1,57352,65,1.11
1,60083,65,1.12
1,62814,65,1.12
1,65535,65,1.12
1,1,97,1.15
1,2732,97,1.14
1,5463,97,1.14
1,8194,97,1.16
1,10925,97,1.18
1,13656,97,1.16
1,16387,97,1.19
1,19118,97,1.2
1,21849,97,1.16
1,24580,97,1.18
1,27311,97,1.15
1,30042,97,1.18
1,32773,97,1.16
1,35504,97,1.14
1,38235,97,1.15
1,40966,97,1.12
1,43697,97,1.14
1,46428,97,1.14
1,49159,97,1.09
1,51890,97,1.11
1,54621,97,1.11
1,57352,97,1.1
1,60083,97,1.2
1,62814,97,1.19
1,65535,97,1.18
1,1,129,1.2
1,2732,129,1.18
1,5463,129,1.16
1,8194,129,1.17
1,10925,129,1.2
1,13656,129,1.19
1,16387,129,1.18
1,19118,129,1.16
1,21849,129,1.15
1,24580,129,1.14
1,27311,129,1.16
1,30042,129,1.12
1,32773,129,1.14
1,35504,129,1.14
1,38235,129,1.14
1,40966,129,1.11
1,43697,129,1.1
1,46428,129,1.09
1,49159,129,1.09
1,51890,129,1.1
1,54621,129,1.15
1,57352,129,1.16
1,60083,129,1.14
1,62814,129,1.12
1,65535,129,1.1
1,1,161,1.16
1,2732,161,1.14
1,5463,161,1.12
1,8194,161,1.15
1,10925,161,1.18
1,13656,161,1.14
1,16387,161,1.16
1,19118,161,1.15
1,21849,161,1.16
1,24580,161,1.12
1,27311,161,1.14
1,30042,161,1.11
1,32773,161,1.14
1,35504,161,1.1
1,38235,161,1.1
1,40966,161,1.1
1,43697,161,1.09
1,46428,161,1.09
1,49159,161,1.07
1,51890,161,1.09
1,54621,161,1.11
1,57352,161,1.09
1,60083,161,1.1
1,62814,161,1.06
1,65535,161,1.07
1,1,193,1.1
1,2732,193,1.06
1,5463,193,1.1
1,8194,193,1.09
1,10925,193,1.11
1,13656,193,1.09
1,16387,193,1.07
1,19118,193,1.09
1,21849,193,1.1
1,24580,193,1.11
1,27311,193,1.14
1,30042,193,1.11
1,32773,193,1.14
1,35504,193,1.15
1,38235,193,1.12
1,40966,193,1.11
1,43697,193,1.07
1,46428,193,1.09
1,49159,193,1.1
1,51890,193,1.11
1,54621,193,1.12
1,57352,193,1.14
1,60083,193,1.12
1,62814,193,1.11
1,65535,193,1.12
1,1,225,1.07
1,2732,225,1.1
1,5463,225,1.12
1,8194,225,1.14
1,10925,225,1.15
1,13656,225,1.11
1,16387,225,1.15
1,19118,225,1.11
1,21849,225,1.1
1,24580,225,1.11
1,27311,225,1.14
1,30042,225,1.16
1,32773,225,1.09
1,35504,225,1.18
1,38235,225,1.12
1,40966,225,1.11
1,43697,225,1.07
1,46428,225,1.11
1,49159,225,1.15
1,51890,225,1.18
1,54621,225,1.15
1,57352,225,1.15
1,60083,225,1.15
1,62814,225,1.1
1,65535,225,1.07
1,1,255,0.88
1,2732,255,0.91
1,5463,255,0.93
1,8194,255,0.95
1,10925,255,0.97
1,13656,255,0.96
1,16387,255,0.93
1,19118,255,0.9
1,21849,255,0.89
1,24580,255,0.93
1,27311,255,0.94
1,30042,255,0.96
1,32773,255,1.0
1,35504,255,0.95
1,38235,255,0.94
1,40966,255,0.9
1,43697,255,0.89
1,46428,255,0.93
1,49159,255,0.93
1,51890,255,0.96
1,54621,255,0.99
1,57352,255,0.94
1,60083,255,0.94
1,62814,255,0.9
1,65535,255,0.88
33,1,1,1.27
33,2732,1,1.35
33,5463,1,1.34
33,8194,1,1.35
33,10925,1,1.35
33,13656,1,1.34
33,16387,1,1.32
33,19118,1,1.34
33,21849,1,1.35
33,24580,1,1.34
33,27311,1,1.34
33,30042,1,1.32
33,32773,1,1.35
33,35504,1,1.34
33,38235,1,1.34
33,40966,1,1.34
33,43697,1,1.34
33,46428,1,1.32
33,49159,1,1.33
33,51890,1,1.34
33,54621,1,1.34
33,57352,1,1.31
33,60083,1,1.34
33,62814,1,1.34
33,65535,1,1.34
33,1,33,1.3
33,2732,33,1.31
33,5463,33,1.34
33,8194,33,1.34
33,10925,33,1.31
33,13656,33,1.34
33,16387,33,1.33
33,19118,33,1.35
33,21849,33,1.32
33,24580,33,1.34
33,27311,33,1.34
33,30042,33,1.31
33,32773,33,1.33
33,35504,33,1.32
33,38235,33,1.3
33,40966,33,1.31
33,43697,33,1.32
33,46428,33,1.3
33,49159,33,1.31
33,51890,33,1.32
33,54621,33,1.3
33,57352,33,1.27
33,60083,33,1.27
33,62814,33,1.27
33,65535,33,1.3
33,1,65,1.35
33,2732,65,1.35
33,5463,65,1.38
33,8194,65,1.36
33,10925,65,1.38
33,13656,65,1.36
33,16387,65,1.33
33,19118,65,1.34
33,21849,65,1.29
33,24580,65,1.33
33,27311,65,1.29
33,30042,65,1.31
33,32773,65,1.29
33,35504,65,1.3
33,38235,65,1.31
33,40966,65,1.31
33,43697,65,1.29
33,46428,65,1.29
33,49159,65,1.26
33,51890,65,1.29
33,54621,65,1.3
33,57352,65,1.31
33,60083,65,1.32
33,62814,65,1.34
33,65535,65,1.34
33,1,97,1.35
33,2732,97,1.36
33,5463,97,1.39
33,8194,97,1.35
33,10925,97,1.35
33,13656,97,1.4
33,16387,97,1.34
33,19118,97,1.3
33,21849,97,1.33
33,24580,97,1.3
33,27311,97,1.3
33,30042,97,1.29
33,32773,97,1.29
33,35504,97,1.29
33,38235,97,1.26
33,40966,97,1.26
33,43697,97,1.25
33,46428,97,1.25
33,49159,97,1.29
33,51890,97,1.26
33,54621,97,1.31
33,57352,97,1.27
33,60083,97,1.3
33,62814,97,1.27
33,65535,97,1.31
33,1,129,1.32
33,2732,129,1.34
33,5463,129,1.39
33,8194,129,1.38
33,10925,129,1.38
33,13656,129,1.36
33,16387,129,1.34
33,19118,129,1.31
33,21849,129,1.29
33,24580,129,1.27
33,27311,129,1.27
33,30042,129,1.27
33,32773,129,1.26
33,35504,129,1.26
33,38235,129,1.24
33,40966,129,1.24
33,43697,129,1.24
33,46428,129,1.23
33,49159,129,1.25
33,51890,129,1.26
33,54621,129,1.29
33,57352,129,1.24
33,60083,129,1.25
33,62814,129,1.27
33,65535,129,1.3
33,1,161,1.31
33,2732,161,1.32
33,5463,161,1.33
33,8194,161,1.32
33,10925,161,1.32
33,13656,161,1.3
33,16387,161,1.31
33,19118,161,1.31
33,21849,161,1.27
33,24580,161,1.26
33,27311,161,1.25
33,30042,161,1.25
33,32773,161,1.25
33,35504,161,1.24
33,38235,161,1.21
33,40966,161,1.21
33,43697,161,1.21
33,46428,161,1.23
33,49159,161,1.27
33,51890,161,1.29
33,54621,161,1.26
33,57352,161,1.26
33,60083,161,1.25
33,62814,161,1.24
33,65535,161,1.23
33,1,193,1.26
33,2732,193,1.23
33,5463,193,1.25
33,8194,193,1.26
33,10925,193,1.27
33,13656,193,1.25
33,16387,193,1.24
33,19118,193,1.26
33,21849,193,1.2
33,24580,193,1.25
33,27311,193,1.24
33,30042,193,1.2
33,32773,193,1.21
33,35504,193,1.23
33,38235,193,1.2
33,40966,193,1.18
33,43697,193,1.14
33,46428,193,1.16
33,49159,193,1.15
33,51890,193,1.19
33,54621,193,1.19
33,57352,193,1.19
33,60083,193,1.16
33,62814,193,1.15
33,65535,193,1.18
33,1,225,1.14
33,2732,225,1.18
33,5463,225,1.2
33,8194,225,1.23
33,10925,225,1.2
33,13656,225,1.23
33,16387,225,1.2
33,19118,225,1.18
33,21849,225,1.15
33,24580,225,1.17
33,27311,225,1.2
33,30042,225,1.25
33,32773,225,1.26
33,35504,225,1.23
33,38235,225,1.21
33,40966,225,1.18
33,43697,225,1.14
33,46428,225,1.14
33,49159,225,1.2
33,51890,225,1.23
33,54621,225,1.25
33,57352,225,1.24
33,60083,225,1.23
33,62814,225,1.18
33,65535,225,1.14
33,1,255,0.95
33,2732,255,0.97
33,5463,255,1.01
33,8194,255,1.05
33,10925,255,1.09
33,13656,255,1.04
33,16387,255,1.0
33,19118,255,0.97
33,21849,255,0.93
33,24580,255,0.97
33,27311,255,1.0
33,30042,255,1.05
33,32773,255,1.1
33,35504,255,1.05
33,38235,255,1.01
33,40966,255,0.95
33,43697,255,0.93
33,46428,255,0.96
33,49159,255,1.0
33,51890,255,1.05
33,54621,255,1.07
33,57352,255,1.06
33,60083,255,1.0
33,62814,255,0.96
33,65535,255,0.94
65,1,1,2.24
65,2732,1,2.26
65,5463,1,2.26
65,8194,1,2.26
65,10925,1,2.27
65,13656,1,2.3
65,16387,1,2.27
65,19118,1,2.26
65,21849,1,2.26
65,24580,1,2.26
65,27311,1,2.29
65,30042,1,2.26
65,32773,1,2.26
65,35504,1,2.25
65,38235,1,2.25
65,40966,1,2.26
65,43697,1,2.27
65,46428,1,2.25
65,49159,1,2.26
65,51890,1,2.24
65,54621,1,2.24
65,57352,1,2.24
65,60083,1,2.25
65,62814,1,2.25
65,65535,1,2.26
65,1,33,2.38
65,2732,33,2.39
65,5463,33,2.36
65,8194,33,2.36
65,10925,33,2.34
65,13656,33,2.29
65,16387,33,2.25
65,19118,33,2.23
65,21849,33,2.24
65,24580,33,2.25
65,27311,33,2.23
65,30042,33,2.24
65,32773,33,2.23
65,35504,33,2.23
65,38235,33,2.25
65,40966,33,2.21
65,43697,33,2.25
65,46428,33,2.24
65,49159,33,2.27
65,51890,33,2.25
65,54621,33,2.29
65,57352,33,2.33
65,60083,33,2.39
65,62814,33,2.38
65,65535,33,2.39
65,1,65,2.41
65,2732,65,2.39
65,5463,65,2.36
65,8194,65,2.38
65,10925,65,2.4
65,13656,65,2.38
65,16387,65,2.25
65,19118,65,2.25
65,21849,65,2.17
65,24580,65,2.17
65,27311,65,2.16
65,30042,65,2.17
65,32773,65,2.17
65,35504,65,2.15
65,38235,65,2.17
65,40966,65,2.17
65,43697,65,2.2
65,46428,65,2.26
65,49159,65,2.26
65,51890,65,2.3
65,54621,65,2.38
65,57352,65,2.39
65,60083,65,2.35
65,62814,65,2.39
65,65535,65,2.4
65,1,97,2.38
65,2732,97,2.42
65,5463,97,2.44
65,8194,97,2.41
65,10925,97,2.39
65,13656,97,2.39
65,16387,97,2.27
65,19118,97,2.21
65,21849,97,2.16
65,24580,97,2.15
65,27311,97,2.1
65,30042,97,2.11
65,32773,97,2.09
65,35504,97,2.1
65,38235,97,2.1
65,40966,97,2.12
65,43697,97,2.15
65,46428,97,2.23
65,49159,97,2.24
65,51890,97,2.24
65,54621,97,2.25
65,57352,97,2.27
65,60083,97,2.33
65,62814,97,2.38
65,65535,97,2.39
65,1,129,2.26
65,2732,129,2.4
65,5463,129,2.54
65,8194,129,2.42
65,10925,129,2.39
65,13656,129,2.38
65,16387,129,2.26
65,19118,129,2.17
65,21849,129,2.1
65,24580,129,2.09
65,27311,129,2.08
65,30042,129,2.04
65,32773,129,2.04
65,35504,129,2.02
65,38235,129,2.05
65,40966,129,2.06
65,43697,129,2.1
65,46428,129,2.17
65,49159,129,2.21
65,51890,129,2.17
65,54621,129,2.15
65,57352,129,2.17
65,60083,129,2.21
65,62814,129,2.27
65,65535,129,2.3
65,1,161,2.17
65,2732,161,2.39
65,5463,161,2.35
65,8194,161,2.25
65,10925,161,2.21
65,13656,161,2.25
65,16387,161,2.27
65,19118,161,2.16
65,21849,161,2.05
65,24580,161,2.04
65,27311,161,1.98
65,30042,161,1.96
65,32773,161,1.94
65,35504,161,1.96
65,38235,161,1.98
65,40966,161,1.99
65,43697,161,2.0
65,46428,161,2.14
65,49159,161,2.11
65,51890,161,2.05
65,54621,161,2.04
65,57352,161,2.06
65,60083,161,2.11
65,62814,161,2.16
65,65535,161,2.16
65,1,193,2.06
65,2732,193,2.19
65,5463,193,2.14
65,8194,193,2.08
65,10925,193,2.06
65,13656,193,2.05
65,16387,193,2.1
65,19118,193,2.12
65,21849,193,1.8
65,24580,193,1.91
65,27311,193,1.91
65,30042,193,1.89
65,32773,193,1.89
65,35504,193,1.86
65,38235,193,1.84
65,40966,193,1.77
65,43697,193,1.69
65,46428,193,1.94
65,49159,193,1.98
65,51890,193,1.96
65,54621,193,1.95
65,57352,193,1.91
65,60083,193,1.98
65,62814,193,2.02
65,65535,193,2.05
65,1,225,1.6
65,2732,225,1.82
65,5463,225,1.91
65,8194,225,1.9
65,10925,225,1.89
65,13656,225,1.85
65,16387,225,1.81
65,19118,225,1.73
65,21849,225,1.51
65,24580,225,1.62
65,27311,225,1.73
65,30042,225,1.81
65,32773,225,1.81
65,35504,225,1.8
65,38235,225,1.7
65,40966,225,1.57
65,43697,225,1.49
65,46428,225,1.54
65,49159,225,1.65
65,51890,225,1.75
65,54621,225,1.77
65,57352,225,1.75
65,60083,225,1.73
65,62814,225,1.62
65,65535,225,1.5
65,1,255,1.23
65,2732,255,1.34
65,5463,255,1.43
65,8194,255,1.54
65,10925,255,1.66
65,13656,255,1.54
65,16387,255,1.44
65,19118,255,1.31
65,21849,255,1.21
65,24580,255,1.32
65,27311,255,1.44
65,30042,255,1.54
65,32773,255,1.66
65,35504,255,1.55
65,38235,255,1.45
65,40966,255,1.32
65,43697,255,1.2
65,46428,255,1.33
