bri,mired,watt
1,153,1.09
1,163,0.92
1,173,0.92
1,183,0.93
1,193,0.91
1,203,0.92
1,213,0.9
1,223,0.89
1,233,0.94
1,243,0.92
1,253,0.93
1,263,0.92
1,273,0.94
1,283,0.94
1,293,0.94
1,303,0.94
1,313,0.94
1,323,0.94
1,333,0.93
1,343,0.93
1,353,0.93
1,363,0.94
1,373,0.93
1,383,0.91
1,393,0.87
1,403,0.85
1,413,0.83
1,423,0.84
1,433,0.82
1,443,0.81
1,453,0.82
1,454,0.82
6,153,0.94
6,163,0.93
6,173,0.92
6,183,0.94
6,193,0.93
6,203,0.93
6,213,0.91
6,223,0.92
6,233,0.91
6,243,0.91
6,253,0.91
6,263,0.92
6,273,0.92
6,283,0.91
6,293,0.93
6,303,0.92
6,313,0.92
6,323,0.92
6,333,0.93
6,343,0.92
6,353,0.94
6,363,0.95
6,373,0.94
6,383,0.88
6,393,0.88
6,403,0.87
6,413,0.85
6,423,0.84
6,433,0.84
6,443,0.85
6,453,0.84
6,454,0.81
11,153,0.92
11,163,0.92
11,173,0.92
11,183,0.93
11,193,0.91
11,203,0.92
11,213,0.93
11,223,0.93
11,233,0.91
11,243,0.9
11,253,0.89
11,263,0.91
11,273,0.9
11,283,0.92
11,293,0.92
11,303,0.91
11,313,0.91
11,323,0.9
11,333,0.92
11,343,0.94
11,353,0.94
11,363,0.92
11,373,0.89
11,383,0.88
11,393,0.88
11,403,0.85
11,413,0.86
11,423,0.83
11,433,0.84
11,443,0.83
11,453,0.82
11,454,0.81
16,153,0.92
16,163,0.91
16,173,0.92
16,183,0.9
16,193,0.91
16,203,0.91
16,213,0.91
16,223,0.92
16,233,0.92
16,243,0.93
16,253,0.94
16,263,0.93
16,273,0.93
16,283,0.95
16,293,0.95
16,303,0.94
16,313,0.94
16,323,0.95
16,333,0.95
16,343,0.93
16,353,0.94
16,363,1.01
16,373,0.95
16,383,0.93
16,393,0.9
16,403,0.86
16,413,0.87
16,423,0.86
16,433,0.85
16,443,0.83
16,453,0.83
16,454,0.84
21,153,0.92
21,163,0.92
21,173,0.93
21,183,0.93
21,193,0.93
21,203,0.92
21,213,0.92
21,223,0.91
21,233,0.94
21,243,0.94
21,253,0.94
21,263,0.94
21,273,0.94
21,283,0.92
21,293,0.92
21,303,0.92
21,313,0.94
21,323,0.93
21,333,0.92
21,343,0.91
21,353,0.93
21,363,0.93
21,373,0.9
21,383,0.89
21,393,0.88
21,403,0.85
21,413,0.83
21,423,0.84
21,433,0.83
21,443,0.83
21,453,0.81
21,454,0.8
26,153,0.85
26,163,0.94
26,173,0.94
26,183,0.95
26,193,0.94
26,203,0.93
26,213,0.93
26,223,0.94
26,233,0.94
26,243,0.95
26,253,0.93
26,263,0.93
26,273,0.9
26,283,0.91
26,293,0.91
26,303,0.91
26,313,0.91
26,323,0.9
26,333,0.91
26,343,0.9
26,353,0.9
26,363,0.92
26,373,0.89
26,383,0.85
26,393,0.83
26,403,0.82
26,413,0.8
26,423,0.8
26,433,0.8
26,443,0.79
26,453,0.79
26,454,0.78
31,153,0.95
31,163,0.96
31,173,0.97
31,183,0.97
31,193,0.98
31,203,0.99
31,213,0.98
31,223,0.99
31,233,1.0
31,243,0.99
31,253,0.97
31,263,0.97
31,273,0.95
31,283,0.97
31,293,0.99
31,303,0.99
31,313,0.99
31,323,0.98
31,333,0.97
31,343,1.0
31,353,0.99
31,363,0.99
31,373,0.97
31,383,0.96
31,393,0.9
31,403,0.89
31,413,0.89
31,423,0.89
31,433,0.88
31,443,0.85
31,453,0.85
31,454,0.86
36,153,0.96
36,163,1.06
36,173,1.06
36,183,1.07
36,193,1.07
36,203,1.06
36,213,1.05
36,223,1.08
36,233,1.11
36,243,1.11
36,253,1.09
36,263,1.07
36,273,1.08
36,283,1.08
36,293,1.05
36,303,1.06
36,313,1.08
36,323,1.08
36,333,1.08
36,343,1.08
36,353,1.08
36,363,1.08
36,373,1.04
36,383,0.98
36,393,0.98
36,403,0.94
36,413,0.92
36,423,0.91
36,433,0.9
36,443,0.87
36,453,0.88
36,454,0.88
41,153,1.13
41,163,1.15
41,173,1.15
41,183,1.17
41,193,1.16
41,203,1.17
41,213,1.16
41,223,1.16
41,233,1.17
41,243,1.17
41,253,1.18
41,263,1.18
41,273,1.16
41,283,1.16
41,293,1.21
41,303,1.16
41,313,1.17
41,323,1.16
41,333,1.15
41,343,1.16
41,353,1.16
41,363,1.16
41,373,1.14
41,383,1.11
41,393,1.06
41,403,1.0
41,413,1.0
41,423,0.9
41,433,0.97
41,443,0.96
41,453,0.96
41,454,0.94
46,153,1.26
46,163,1.24
46,173,1.24
46,183,1.25
46,193,1.24
46,203,1.24
46,213,1.24
46,223,1.23
46,233,1.25
46,243,1.24
46,253,1.25
46,263,1.26
46,273,1.26
