bri,hue,sat,watt
1,1,1,1.12
1,5463,1,1.15
1,10925,1,1.53
1,16387,1,0.92
1,21849,1,1.33
1,27311,1,1.0
1,32773,1,1.11
1,38235,1,1.37
1,43697,1,1.55
1,49159,1,1.19
1,54621,1,1.43
1,60083,1,1.33
1,65535,1,0.97
1,1,65,1.13
1,5463,65,1.53
1,10925,65,1.03
1,16387,65,1.04
1,21849,65,1.43
1,27311,65,0.97
1,32773,65,1.39
1,38235,65,1.16
1,43697,65,1.45
1,49159,65,1.52
1,54621,65,1.08
1,60083,65,1.29
1,65535,65,0.86
1,1,129,1.18
1,5463,129,1.23
1,10925,129,1.27
1,16387,129,1.16
1,21849,129,1.26
1,27311,129,1.22
1,32773,129,1.17
1,38235,129,1.27
1,43697,129,1.34
1,49159,129,1.38
1,54621,129,1.32
1,60083,129,1.02
1,65535,129,1.02
1,1,193,0.91
1,5463,193,1.02
1,10925,193,1.24
1,16387,193,1.38
1,21849,193,1.2
1,27311,193,0.87
1,32773,193,0.91
1,38235,193,0.99
1,43697,193,0.99
1,49159,193,1.05
1,54621,193,1.49
1,60083,193,1.19
1,65535,193,1.33
1,1,255,1.21
1,5463,255,1.1
1,10925,255,1.1
1,16387,255,1.79
1,21849,255,1.23
1,27311,255,1.04
1,32773,255,1.2
1,38235,255,0.93
1,43697,255,1.15
1,49159,255,1.27
1,54621,255,1.12
1,60083,255,0.63
1,65535,255,0.85
65,1,1,2.06
65,5463,1,2.51
65,10925,1,2.49
65,16387,1,2.46
65,21849,1,2.25
65,27311,1,2.59
65,32773,1,2.24
65,38235,1,2.47
65,43697,1,2.57
65,49159,1,2.34
65,54621,1,2.58
65,60083,1,2.23
65,65535,1,2.3
65,1,65,2.5
65,5463,65,2.18
65,10925,65,2.37
65,16387,65,2.0
65,21849,65,1.34
65,27311,65,1.97
65,32773,65,1.95
65,38235,65,2.27
65,43697,65,2.11
65,49159,65,2.01
65,54621,65,2.11
65,60083,65,1.84
65,65535,65,1.84
65,1,129,2.09
65,5463,129,1.65
65,10925,129,2.37
65,16387,129,1.26
65,21849,129,1.9
65,27311,129,1.42
65,32773,129,1.94
65,38235,129,2.34
65,43697,129,2.08
65,49159,129,1.73
65,54621,129,2.64
65,60083,129,2.12
65,65535,129,2.65
65,1,193,1.35
65,5463,193,2.33
65,10925,193,2.03
65,16387,193,1.43
65,21849,193,1.13
65,27311,193,1.68
65,32773,193,1.42
65,38235,193,2.15
65,43697,193,1.59
65,49159,193,1.46
65,54621,193,2.26
65,60083,193,2.08
65,65535,193,1.68
65,1,255,1.65
65,5463,255,1.87
65,10925,255,1.99
65,16387,255,1.61
65,21849,255,1.22
65,27311,255,1.44
65,32773,255,1.73
65,38235,255,1.78
65,43697,255,1.66
65,49159,255,1.86
65,54621,255,2.46
65,60083,255,1.64
65,65535,255,1.17
129,1,1,3.88
129,5463,1,3.92
129,10925,1,4.17
129,16387,1,4.89
129,21849,1,4.05
129,27311,1,4.29
129,32773,1,4.08
129,38235,1,4.34
129,43697,1,4.6
129,49159,1,4.11
129,54621,1,4.39
129,60083,1,4.24
129,65535,1,4.24
129,1,65,3.82
129,5463,65,3.59
129,10925,65,3.92
129,16387,65,4.27
129,21849,65,3.31
129,27311,65,3.4
129,32773,65,3.93
129,38235,65,4.68
129,43697,65,4.75
129,49159,65,4.26
129,54621,65,3.66
129,60083,65,4.16
129,65535,65,4.04
129,1,129,4.02
129,5463,129,4.52
129,10925,129,3.95
129,16387,129,3.49
129,21849,129,2.51
129,27311,129,2.89
129,32773,129,3.2
129,38235,129,3.47
129,43697,129,3.7
129,49159,129,3.91
129,54621,129,4.32
129,60083,129,4.11
129,65535,129,3.54
129,1,193,2.4
129,5463,193,3.21
129,10925,193,2.83
129,16387,193,2.82
129,21849,193,2.57
129,27311,193,2.32
129,32773,193,3.33
129,38235,193,3.53
129,43697,193,2.83
129,49159,193,3.27
129,54621,193,3.94
129,60083,193,2.69
129,65535,193,2.68
129,1,255,2.71
129,5463,255,3.11
129,10925,255,3.09
129,16387,255,2.58
129,21849,255,2.15
129,27311,255,2.54
129,32773,255,2.8
129,38235,255,2.69
129,43697,255,2.44
129,49159,255,3.21
129,54621,255,3.12
129,60083,255,2.42
129,65535,255,2.1
193,1,1,7.71
193,5463,1,7.84
193,10925,1,8.12
193,16387,1,7.31
193,21849,1,8.08
193,27311,1,7.8
193,32773,1,7.28
193,38235,1,7.54
193,43697,1,7.43
193,49159,1,7.69
193,54621,1,7.52
193,60083,1,7.43
193,65535,1,7.28
193,1,65,6.77
193,5463,65,6.71
