bri,watt
1,1.5
2,1.45
3,1.55
4,1.55
5,1.5
6,1.7
7,1.7
8,1.7
9,1.7
10,1.7
11,1.9
12,1.8
13,1.9
14,1.85
15,2.0
16,2.0
17,2.05
18,2.1
19,2.1
20,2.15
21,2.2
22,2.2
23,2.3
24,2.2
25,2.25
26,2.4
27,2.45
28,2.4
29,2.5
30,2.55
31,2.5
32,2.65
33,2.6
34,2.65
35,2.65
36,2.85
37,2.8
38,2.75
39,2.9
40,2.9
41,3.0
42,3.0
43,3.05
44,3.0
45,3.1
46,3.15
47,3.15
48,3.15
49,3.3
50,3.35
51,3.25
52,3.4
53,3.45
54,3.45
55,3.45
56,3.45
57,3.55
58,3.55
59,3.6
60,3.7
61,3.7
62,3.8
63,3.75
64,3.9
65,3.8
66,3.85
67,4.0
68,4.0
69,4.0
70,4.05
71,4.1
72,4.1
73,4.15
74,4.2
75,4.15
76,4.1
77,4.25
78,4.25
79,4.25
80,4.25
81,4.2
82,4.35
83,4.4
84,4.4
85,4.35
86,4.5
87,4.55
88,4.5
89,4.45
90,4.5
91,4.6
92,4.6
93,4.6
94,4.6
95,4.65
96,4.75
97,4.75
98,4.7
99,4.75
100,4.65
101,4.75
102,4.8
103,4.8
104,4.85
105,4.85
106,4.85
107,4.95
108,4.95
109,4.8
110,4.95
111,5.05
112,5.05
113,5.05
114,5.05
115,5.1
116,5.15
117,5.15
118,5.15
119,5.2
120,5.3
121,5.3
122,5.35
123,5.4
124,5.3
125,5.5
126,5.45
127,5.55
128,5.5
129,5.5
130,5.5
131,5.5
132,5.55
133,5.6
134,5.65
135,5.65
136,5.7
137,5.75
138,5.8
139,5.8
140,5.8
141,5.8
142,5.8
143,5.95
144,5.9
145,5.9
146,5.95
147,6.0
148,6.0
149,6.0
150,6.05
151,6.1
152,6.1
153,6.1
154,6.2
155,6.2
156,6.25
157,6.25
158,6.25
159,6.35
160,6.35
161,6.4
162,6.4
163,6.45
164,6.5
165,6.45
166,6.5
167,6.55
168,6.5
169,6.6
170,6.6
171,6.7
172,6.75
173,6.7
174,6.75
175,6.8
176,6.85
177,6.8
178,6.9
179,6.9
180,6.85
181,6.9
182,7.0
183,7.0
184,7.0
185,7.0
186,7.0
187,7.1
188,7.1
189,7.15
190,7.15
191,7.2
192,7.3
193,7.25
194,7.35
195,7.4
196,7.35
197,7.4
198,7.4
199,7.4
200,7.45
201,7.4
202,7.55
203,7.55
204,7.6
205,7.65
206,7.55
207,7.7
208,7.65
209,7.65
210,7.75
211,7.75
212,7.8
213,7.85
214,7.8
215,8.0
216,7.85
217,7.95
218,7.95
219,8.0
220,8.05
221,8.1
222,8.1
223,8.1
224,8.1
225,8.2
226,8.2
227,8.3
228,8.3
229,8.3
230,8.35
231,8.45
232,8.4
233,8.45
234,8.5
235,8.5
236,8.45
237,8.5
238,8.5
239,8.65
240,8.65
241,8.6
242,8.65
243,8.65
244,8.75
245,8.75
246,8.8
247,8.8
248,8.9
249,8.85
250,8.95
251,8.9
252,9.0
253,8.9
254,9.05
255,9.0
