bri,mired,watt
1,153,1.8
1,163,1.8
1,173,1.7
1,183,1.8
1,193,1.85
1,203,1.9
1,213,1.8
1,223,1.9
1,233,1.85
1,243,1.9
1,253,1.8
1,263,1.85
1,273,1.85
1,283,1.8
1,293,1.85
1,303,1.8
1,313,1.9
1,323,1.8
1,333,1.7
1,343,1.7
1,353,1.8
1,363,1.8
1,373,1.6
1,383,1.7
1,393,1.7
1,403,1.7
1,413,1.6
1,423,1.55
1,433,1.65
1,443,1.5
1,453,1.5
1,463,1.7
1,473,1.7
1,483,1.5
1,493,1.65
1,503,1.7
1,513,1.7
1,523,1.5
1,533,1.5
1,543,1.6
1,553,1.6
1,563,1.5
1,573,1.5
1,583,1.5
1,588,1.5
6,153,1.65
6,163,1.7
6,173,1.8
6,183,1.9
6,193,1.9
6,203,1.8
6,213,1.9
6,223,1.95
6,233,1.9
6,243,2.0
6,253,1.9
6,263,2.0
6,273,2.0
6,283,1.95
6,293,2.0
6,303,1.9
6,313,1.8
6,323,1.9
6,333,1.8
6,343,1.8
6,353,1.65
6,363,1.7
6,373,1.65
6,383,1.7
6,393,1.65
6,403,1.65
6,413,1.7
6,423,1.7
6,433,1.6
6,443,1.6
6,453,1.5
6,463,1.6
6,473,1.6
6,483,1.5
6,493,1.55
6,503,1.6
6,513,1.7
6,523,1.5
6,533,1.55
6,543,1.5
6,553,1.5
6,563,1.5
6,573,1.6
6,583,1.55
6,588,1.5
11,153,1.75
11,163,1.95
11,173,2.0
11,183,2.0
11,193,2.05
11,203,2.1
11,213,2.0
11,223,2.1
11,233,2.1
11,243,2.2
11,253,2.1
11,263,2.1
11,273,2.05
11,283,2.0
11,293,2.0
11,303,1.9
11,313,2.0
11,323,1.9
11,333,1.9
11,343,2.1
11,353,2.0
11,363,1.85
11,373,1.75
11,383,1.8
11,393,1.8
11,403,1.9
11,413,1.7
11,423,1.8
11,433,1.8
11,443,1.9
11,453,1.7
11,463,1.8
11,473,1.7
11,483,1.8
11,493,1.7
11,503,1.8
11,513,1.6
11,523,1.6
11,533,1.7
11,543,1.6
11,553,1.7
11,563,1.6
11,573,1.6
11,583,1.65
11,588,1.7
16,153,2.0
