bri,hue,sat,watt
1,1,1,1.6
1,2732,1,1.7
1,5463,1,1.6
1,8194,1,1.6
1,10925,1,1.7
1,13656,1,1.5
1,16387,1,1.6
1,19118,1,1.5
1,21849,1,1.5
1,24580,1,1.6
1,27311,1,1.7
1,30042,1,1.7
1,32773,1,1.6
1,35504,1,1.7
1,38235,1,1.6
1,40966,1,1.7
1,43697,1,1.5
1,46428,1,1.7
1,49159,1,1.5
1,51890,1,1.65
1,54621,1,1.7
1,57352,1,1.7
1,60083,1,1.6
1,62814,1,1.6
1,65535,1,1.7
1,1,33,1.65
1,2732,33,1.6
1,5463,33,1.6
1,8194,33,1.55
1,10925,33,1.65
1,13656,33,1.65
1,16387,33,1.6
1,19118,33,1.6
1,21849,33,1.6
1,24580,33,1.5
1,27311,33,1.65
1,30042,33,1.5
1,32773,33,1.5
1,35504,33,1.6
1,38235,33,1.6
1,40966,33,1.6
1,43697,33,1.75
1,46428,33,1.8
1,49159,33,1.75
1,51890,33,1.65
1,54621,33,1.7
1,57352,33,1.75
1,60083,33,1.75
1,62814,33,1.8
1,65535,33,1.8
1,1,65,1.8
1,2732,65,1.65
1,5463,65,1.7
1,8194,65,1.6
1,10925,65,1.6
1,13656,65,1.6
1,16387,65,1.5
1,19118,65,1.7
1,21849,65,1.6
1,24580,65,1.6
1,27311,65,1.65
1,30042,65,1.5
1,32773,65,1.6
1,35504,65,1.7
1,38235,65,1.6
1,40966,65,1.8
1,43697,65,1.7
1,46428,65,1.6
1,49159,65,1.7
1,51890,65,1.8
1,54621,65,1.7
1,57352,65,1.85
1,60083,65,1.8
1,62814,65,1.85
1,65535,65,1.7
1,1,97,1.6
1,2732,97,1.7
1,5463,97,1.6
1,8194,97,1.8
1,10925,97,1.6
1,13656,97,1.6
1,16387,97,1.5
1,19118,97,1.5
1,21849,97,1.6
1,24580,97,1.6
1,27311,97,1.6
1,30042,97,1.5
1,32773,97,1.6
1,35504,97,1.7
1,38235,97,1.65
1,40966,97,1.7
1,43697,97,1.7
1,46428,97,1.65
1,49159,97,1.6
1,51890,97,1.7
1,54621,97,1.7
1,57352,97,1.7
1,60083,97,1.7
1,62814,97,1.8
1,65535,97,1.8
1,1,129,1.65
1,2732,129,1.7
1,5463,129,1.6
1,8194,129,1.7
1,10925,129,1.6
1,13656,129,1.65
1,16387,129,1.5
1,19118,129,1.5
1,21849,129,1.6
1,24580,129,1.55
1,27311,129,1.6
1,30042,129,1.5
1,32773,129,1.6
1,35504,129,1.5
1,38235,129,1.65
1,40966,129,1.6
1,43697,129,1.4
1,46428,129,1.4
1,49159,129,1.5
1,51890,129,1.5
1,54621,129,1.7
1,57352,129,1.7
1,60083,129,1.8
1,62814,129,1.65
1,65535,129,1.6
1,1,161,1.55
1,2732,161,1.55
1,5463,161,1.65
1,8194,161,1.7
1,10925,161,1.6
1,13656,161,1.6
1,16387,161,1.6
1,19118,161,1.5
1,21849,161,1.5
1,24580,161,1.5
1,27311,161,1.6
1,30042,161,1.6
1,32773,161,1.5
1,35504,161,1.7
1,38235,161,1.6
1,40966,161,1.45
1,43697,161,1.4
1,46428,161,1.35
1,49159,161,1.5
1,51890,161,1.45
1,54621,161,1.6
1,57352,161,1.7
1,60083,161,1.7
1,62814,161,1.5
1,65535,161,1.5
1,1,193,1.4
1,2732,193,1.5
1,5463,193,1.75
1,8194,193,1.5
1,10925,193,1.5
1,13656,193,1.5
1,16387,193,1.45
1,19118,193,1.45
1,21849,193,1.45
1,24580,193,1.55
1,27311,193,1.5
1,30042,193,1.55
1,32773,193,1.5
1,35504,193,1.7
1,38235,193,1.5
1,40966,193,1.35
1,43697,193,1.35
1,46428,193,1.4
1,49159,193,1.4
1,51890,193,1.45
1,54621,193,1.5
1,57352,193,1.6
1,60083,193,1.5
1,62814,193,1.5
1,65535,193,1.6
1,1,225,1.4
1,2732,225,1.5
1,5463,225,1.6
1,8194,225,1.5
1,10925,225,1.55
1,13656,225,1.5
1,16387,225,1.5
1,19118,225,1.6
1,21849,225,1.5
1,24580,225,1.5
1,27311,225,1.45
1,30042,225,1.55
1,32773,225,1.7
1,35504,225,1.4
1,38235,225,1.5
1,40966,225,1.35
1,43697,225,1.4
1,46428,225,1.4
1,49159,225,1.3
1,51890,225,1.5
1,54621,225,1.5
1,57352,225,1.45
1,60083,225,1.45
1,62814,225,1.45
1,65535,225,1.45
1,1,255,1.3
1,2732,255,1.5
1,5463,255,1.6
1,8194,255,1.65
1,10925,255,1.55
1,13656,255,1.5
1,16387,255,1.5
1,19118,255,1.55
1,21849,255,1.4
1,24580,255,1.6
1,27311,255,1.45
1,30042,255,1.45
1,32773,255,1.55
1,35504,255,1.7
1,38235,255,1.4
1,40966,255,1.3
1,43697,255,1.3
1,46428,255,1.3
1,49159,255,1.4
1,51890,255,1.4
1,54621,255,1.5
1,57352,255,1.5
1,60083,255,1.4
1,62814,255,1.4
1,65535,255,1.5
33,1,1,2.1
33,2732,1,2.1
33,5463,1,2.2
33,8194,1,2.2
33,10925,1,2.1
33,13656,1,2.1
33,16387,1,2.1
33,19118,1,2.1
33,21849,1,2.2
33,24580,1,2.2
33,27311,1,2.15
33,30042,1,2.15
33,32773,1,2.2
33,35504,1,2.1
33,38235,1,2.2
33,40966,1,2.1
33,43697,1,2.1
33,46428,1,2.1
33,49159,1,2.2
33,51890,1,2.1
33,54621,1,2.1
33,57352,1,2.15
33,60083,1,2.2
33,62814,1,2.1
33,65535,1,2.15
33,1,33,2.2
33,2732,33,2.3
33,5463,33,2.25
33,8194,33,2.2
33,10925,33,2.1
33,13656,33,2.1
33,16387,33,2.2
33,19118,33,2.15
33,21849,33,2.1
33,24580,33,2.2
33,27311,33,2.1
33,30042,33,2.3
33,32773,33,2.3
33,35504,33,2.1
33,38235,33,2.3
33,40966,33,2.2
33,43697,33,2.2
33,46428,33,2.4
33,49159,33,2.3
33,51890,33,2.3
33,54621,33,2.2
33,57352,33,2.35
33,60083,33,2.25
33,62814,33,2.2
33,65535,33,2.3
33,1,65,2.35
33,2732,65,2.15
33,5463,65,2.15
33,8194,65,2.1
33,10925,65,2.0
33,13656,65,2.0
33,16387,65,2.1
33,19118,65,2.15
33,21849,65,2.05
33,24580,65,2.0
33,27311,65,2.2
33,30042,65,2.2
33,32773,65,2.0
33,35504,65,2.1
33,38235,65,2.3
33,40966,65,2.35
33,43697,65,2.2
33,46428,65,2.3
33,49159,65,2.25
33,51890,65,2.35
33,54621,65,2.45
33,57352,65,2.55
33,60083,65,2.5
33,62814,65,2.3
33,65535,65,2.4
33,1,97,2.2
33,2732,97,2.3
33,5463,97,2.2
33,8194,97,2.2
33,10925,97,2.0
33,13656,97,2.1
33,16387,97,1.9
33,19118,97,2.2
33,21849,97,2.1
33,24580,97,2.1
33,27311,97,2.0
33,30042,97,2.0
33,32773,97,2.2
33,35504,97,2.1
33,38235,97,2.3
33,40966,97,2.2
33,43697,97,1.9
33,46428,97,2.1
33,49159,97,2.1
33,51890,97,2.2
33,54621,97,2.4
33,57352,97,2.6
33,60083,97,2.4
33,62814,97,2.4
33,65535,97,2.4
33,1,129,2.15
33,2732,129,2.3
33,5463,129,2.2
33,8194,129,2.3
33,10925,129,2.1
33,13656,129,2.0
33,16387,129,2.05
33,19118,129,2.0
