bri,mired,watt
1,152,1.13
1,162,0.82
1,172,0.72
1,182,0.82
1,192,0.77
1,202,0.98
1,212,0.98
1,222,0.85
1,232,0.97
1,242,0.87
1,252,0.98
1,262,0.81
1,272,0.79
1,282,0.77
1,292,0.88
1,302,0.77
1,312,0.88
1,322,0.79
1,332,0.88
1,342,0.9
1,352,0.83
1,362,0.75
1,372,0.85
1,382,0.79
1,392,0.79
1,402,0.89
1,412,0.79
1,422,0.8
1,432,0.89
1,442,0.88
1,452,0.89
1,462,0.99
1,472,0.87
1,482,0.79
1,492,0.89
1,502,0.79
1,512,0.79
1,522,0.78
1,532,0.75
1,542,0.86
1,552,0.74
1,562,0.83
1,572,0.83
1,582,0.73
1,587,0.83
6,152,1.34
6,162,1.82
6,172,1.83
6,182,1.95
6,192,1.87
6,202,2.04
6,212,2.03
6,222,2.02
6,232,2.03
6,242,2.13
6,252,2.13
6,262,2.03
6,272,2.12
6,282,2.13
6,292,2.13
6,302,2.01
6,312,2.01
6,322,2.06
6,332,2.15
6,342,1.75
6,352,1.63
6,362,1.7
6,372,1.51
6,382,1.41
6,392,1.42
6,402,1.51
6,412,1.51
6,422,1.4
6,432,1.41
6,442,1.5
6,452,1.4
6,462,1.4
6,472,1.33
6,482,1.42
6,492,1.52
6,502,1.4
6,512,1.39
6,522,1.67
6,532,1.36
6,542,1.27
6,552,1.27
6,562,1.26
6,572,1.38
6,582,1.26
6,587,1.37
11,152,1.78
11,162,1.81
11,172,1.93
11,182,2.04
11,192,2.01
11,202,2.11
11,212,2.12
11,222,2.12
11,232,2.23
11,242,2.31
11,252,2.18
11,262,2.11
11,272,2.31
11,282,2.31
11,292,2.21
11,302,2.21
11,312,2.13
11,322,2.21
11,332,2.1
11,342,1.79
11,352,1.68
11,362,1.64
11,372,1.65
11,382,1.56
11,392,1.46
11,402,1.46
11,412,1.56
11,422,1.37
11,432,1.47
11,442,1.37
11,452,1.5
11,462,1.35
11,472,1.53
11,482,1.34
11,492,1.33
11,502,1.41
11,512,1.39
11,522,1.38
11,532,1.39
11,542,1.3
11,552,1.31
11,562,1.32
11,572,1.51
11,582,1.4
11,587,1.5
16,152,1.94
16,162,1.95
16,172,2.06
16,182,2.16
16,192,2.14
16,202,2.21
16,212,2.2
16,222,2.21
16,232,2.31
16,242,2.3
16,252,2.41
16,262,2.4
16,272,2.5
16,282,2.4
16,292,2.31
16,302,2.33
16,312,2.33
16,322,2.3
16,332,2.3
16,342,1.91
16,352,1.9
16,362,1.83
16,372,1.81
16,382,1.61
16,392,1.72
16,402,1.61
16,412,1.61
16,422,1.61
16,432,1.51
16,442,1.54
16,452,1.43
16,462,1.45
16,472,1.51
16,482,1.43
16,492,1.51
16,502,1.31
16,512,1.42
16,522,1.41
16,532,1.41
16,542,1.41
16,552,1.41
16,562,1.29
16,572,1.48
16,582,1.4
16,587,1.32
21,152,2.03
21,162,2.02
21,172,2.12
21,182,2.18
21,192,2.18
21,202,2.29
21,212,2.38
21,222,2.38
21,232,2.48
21,242,2.48
21,252,2.6
21,262,2.6
21,272,2.61
21,282,2.61
21,292,2.53
21,302,2.44
21,312,2.36
21,322,2.33
21,332,2.51
21,342,1.92
21,352,2.01
21,362,1.92
21,372,1.82
21,382,1.61
21,392,1.61
21,402,1.61
21,412,1.71
21,422,1.52
21,432,1.65
21,442,1.55
21,452,1.54
21,462,1.41
21,472,1.51
21,482,1.43
21,492,1.51
21,502,1.53
21,512,1.53
21,522,1.44
21,532,1.42
21,542,1.43
21,552,1.53
21,562,1.42
21,572,1.51
21,582,1.42
21,587,1.42
26,152,1.89
26,162,2.01
26,172,2.18
26,182,2.39
26,192,2.39
26,202,2.49
26,212,2.49
26,222,2.48
26,232,2.59
26,242,2.59
26,252,2.68
26,262,2.76
26,272,2.79
26,282,2.79
26,292,2.78
26,302,2.78
26,312,2.65
26,322,2.55
26,332,2.44
26,342,1.95
26,352,1.96
26,362,1.95
26,372,1.65
26,382,1.65
26,392,1.65
26,402,1.65
26,412,1.65
26,422,1.59
26,432,1.7
26,442,1.6
26,452,1.59
26,462,1.56
26,472,1.65
26,482,1.56
26,492,1.46
26,502,1.45
26,512,1.46
26,522,1.37
26,532,1.37
26,542,1.46
26,552,1.47
26,562,1.6
26,572,1.48
26,582,1.47
26,587,1.45
31,152,2.14
31,162,2.25
31,172,2.33
31,182,2.32
31,192,2.42
31,202,2.42
31,212,2.52
31,222,2.61
31,232,2.61
31,242,2.82
31,252,2.92
31,262,2.75
31,272,2.82
31,282,2.93
31,292,2.79
31,302,2.78
31,312,2.78
31,322,2.69
31,332,2.69
31,342,2.59
31,352,1.88
31,362,2.07
31,372,1.68
31,382,1.68
31,392,1.69
31,402,1.82
31,412,1.82
31,422,1.73
31,432,1.75
31,442,1.61
31,452,1.61
31,462,1.51
31,472,1.5
31,482,1.52
31,492,1.63
31,502,1.54
31,512,1.65
31,522,1.55
31,532,1.55
31,542,1.46
31,552,1.56
31,562,1.46
31,572,1.47
31,582,1.47
31,587,1.44
36,152,2.23
36,162,2.22
36,172,2.42
36,182,2.51
36,192,2.45
36,202,2.55
36,212,2.65
36,222,2.65
36,232,2.95
36,242,2.99
36,252,2.98
36,262,3.06
36,272,3.06
36,282,3.05
36,292,3.05
36,302,2.83
36,312,2.92
36,322,2.95
36,332,2.95
36,342,2.03
36,352,2.12
36,362,2.02
36,372,1.93
36,382,1.67
36,392,1.75
36,402,1.77
36,412,1.75
36,422,1.61
36,432,1.61
36,442,1.7
36,452,1.71
36,462,1.6
36,472,1.6
36,482,1.61
36,492,1.52
36,502,1.43
36,512,1.53
