bri,hue,sat,watt
5,1,1,1.04
5,5463,1,0.94
5,10925,1,0.96
5,16387,1,0.85
5,21849,1,1.06
5,27311,1,1.06
5,32773,1,0.97
5,38235,1,0.87
5,43697,1,0.99
5,49159,1,0.97
5,54621,1,0.97
5,60083,1,1.07
5,65535,1,0.97
5,1,65,1.07
5,5463,65,1.06
5,10925,65,1.05
5,16387,65,0.87
5,21849,65,0.97
5,27311,65,0.96
5,32773,65,0.85
5,38235,65,0.95
5,43697,65,1.05
5,49159,65,0.95
5,54621,65,0.95
5,60083,65,0.96
5,65535,65,0.96
5,1,129,1.06
5,5463,129,1.05
5,10925,129,0.86
5,16387,129,0.95
5,21849,129,0.97
5,27311,129,1.05
5,32773,129,0.95
5,38235,129,1.16
5,43697,129,1.06
5,49159,129,1.07
5,54621,129,1.07
5,60083,129,1.14
5,65535,129,0.94
5,1,193,0.95
5,5463,193,1.03
5,10925,193,0.94
5,16387,193,0.94
5,21849,193,0.95
5,27311,193,0.94
5,32773,193,0.85
5,38235,193,0.94
5,43697,193,1.03
5,49159,193,0.94
5,54621,193,0.94
5,60083,193,0.94
5,65535,193,0.95
5,1,255,0.86
5,5463,255,0.96
5,10925,255,0.98
5,16387,255,0.98
5,21849,255,0.97
5,27311,255,0.97
5,32773,255,0.97
5,38235,255,0.97
5,43697,255,0.98
5,49159,255,0.89
5,54621,255,1.0
5,60083,255,1.1
5,65535,255,0.72
37,1,1,1.11
37,5463,1,1.31
37,10925,1,1.31
37,16387,1,1.31
37,21849,1,1.28
37,27311,1,1.3
37,32773,1,1.28
37,38235,1,1.27
37,43697,1,1.27
37,49159,1,1.27
37,54621,1,1.19
37,60083,1,1.21
37,65535,1,1.31
37,1,65,1.11
37,5463,65,1.21
37,10925,65,1.0
37,16387,65,1.11
37,21849,65,1.0
37,27311,65,1.02
37,32773,65,1.11
37,38235,65,1.12
37,43697,65,1.22
37,49159,65,1.12
37,54621,65,1.31
37,60083,65,1.22
37,65535,65,1.13
37,1,129,1.23
37,5463,129,1.22
37,10925,129,1.22
37,16387,129,1.12
37,21849,129,1.11
37,27311,129,1.32
37,32773,129,1.41
37,38235,129,1.42
37,43697,129,1.22
37,49159,129,1.21
37,54621,129,1.51
37,60083,129,1.31
37,65535,129,1.21
37,1,193,1.11
37,5463,193,1.3
37,10925,193,1.3
37,16387,193,1.11
37,21849,193,1.31
37,27311,193,1.21
