bri,mired,watt
1,50,0.42
1,60,0.38
1,70,0.35
1,80,0.45
1,90,0.42
1,100,0.38
1,110,0.45
1,120,0.42
1,130,0.45
1,140,0.35
1,150,0.45
1,160,0.48
1,170,0.38
1,180,0.45
1,190,0.52
1,200,0.42
1,210,0.45
1,220,0.45
1,230,0.45
1,240,0.38
1,250,0.42
1,260,0.42
1,270,0.42
1,280,0.52
1,290,0.45
1,300,0.42
1,310,0.38
1,320,0.45
1,330,0.45
1,340,0.35
1,350,0.35
1,360,0.35
1,370,0.38
1,380,0.42
1,390,0.32
1,400,0.38
6,50,0.28
6,60,0.32
6,70,0.25
6,80,0.32
6,90,0.28
6,100,0.35
6,110,0.32
6,120,0.25
6,130,0.25
6,140,0.28
6,150,0.32
6,160,0.32
6,170,0.45
6,180,0.32
6,190,0.35
6,200,0.35
6,210,0.42
6,220,0.35
6,230,0.38
6,240,0.35
6,250,0.42
6,260,0.38
6,270,0.35
6,280,0.32
6,290,0.35
6,300,0.32
6,310,0.35
6,320,0.35
6,330,0.32
6,340,0.35
6,350,0.28
6,360,0.32
6,370,0.38
6,380,0.42
6,390,0.38
6,400,0.25
11,50,0.28
11,60,0.35
11,70,0.25
11,80,0.38
11,90,0.32
11,100,0.25
11,110,0.28
11,120,0.28
11,130,0.35
11,140,0.28
11,150,0.35
11,160,0.42
11,170,0.42
11,180,0.42
11,190,0.35
11,200,0.42
11,210,0.35
11,220,0.48
11,230,0.48
11,240,0.45
11,250,0.45
11,260,0.42
11,270,0.48
11,280,0.42
11,290,0.48
11,300,0.42
11,310,0.45
11,320,0.52
11,330,0.45
11,340,0.42
11,350,0.42
11,360,0.45
11,370,0.45
11,380,0.38
11,390,0.48
11,400,0.52
16,50,0.55
16,60,0.48
16,70,0.52
16,80,0.45
16,90,0.55
16,100,0.48
16,110,0.58
16,120,0.48
16,130,0.52
16,140,0.48
16,150,0.45
16,160,0.55
16,170,0.45
16,180,0.52
16,190,0.52
16,200,0.42
16,210,0.45
16,220,0.48
16,230,0.45
16,240,0.42
16,250,0.48
16,260,0.48
16,270,0.42
16,280,0.42
16,290,0.48
16,300,0.42
16,310,0.48
16,320,0.38
16,330,0.45
16,340,0.52
16,350,0.35
16,360,0.45
16,370,0.42
16,380,0.42
16,390,0.38
16,400,0.45
21,50,0.45
21,60,0.48
21,70,0.35
21,80,0.38
21,90,0.35
21,100,0.28
21,110,0.38
21,120,0.38
21,130,0.38
21,140,0.42
21,150,0.42
21,160,0.42
21,170,0.38
21,180,0.45
21,190,0.55
21,200,0.42
21,210,0.45
21,220,0.52
21,230,0.52
21,240,0.52
21,250,0.52
21,260,0.42
21,270,0.45
21,280,0.48
21,290,0.38
21,300,0.42
21,310,0.32
21,320,0.42
21,330,0.38
21,340,0.38
21,350,0.38
21,360,0.38
21,370,0.35
21,380,0.38
21,390,0.32
21,400,0.35
26,50,0.48
26,60,0.45
26,70,0.45
26,80,0.42
26,90,0.38
26,100,0.45
26,110,0.52
26,120,0.45
26,130,0.45
26,140,0.45
26,150,0.35
26,160,0.48
26,170,0.52
26,180,0.55
26,190,0.62
26,200,0.52
26,210,0.48
26,220,0.48
26,230,0.48
26,240,0.52
26,250,0.45
26,260,0.55
26,270,0.62
26,280,0.45
26,290,0.52
26,300,0.42
26,310,0.45
26,320,0.52
26,330,0.48
26,340,0.42
26,350,0.45
26,360,0.42
26,370,0.42
26,380,0.42
26,390,0.42
26,400,0.48
31,50,0.55
31,60,0.42
31,70,0.45
31,80,0.42
31,90,0.48
31,100,0.42
31,110,0.52
31,120,0.48
31,130,0.45
31,140,0.42
31,150,0.45
31,160,0.48
31,170,0.52
31,180,0.52
31,190,0.52
31,200,0.52
