bri,hue,sat,watt
1,1,1,1.86
1,2732,1,1.66
1,5463,1,1.63
1,8194,1,1.69
1,10925,1,1.71
1,13656,1,1.7
1,16387,1,1.73
1,19118,1,1.68
1,21849,1,1.7
1,24580,1,1.69
1,27311,1,1.67
1,30042,1,1.69
1,32773,1,1.69
1,35504,1,1.65
1,38235,1,1.68
1,40966,1,1.73
1,43697,1,1.73
1,46428,1,1.65
1,49159,1,1.71
1,51890,1,1.73
1,54621,1,1.69
1,57352,1,1.73
1,60083,1,1.68
1,62814,1,1.73
1,65535,1,1.71
1,1,33,1.52
1,2732,33,1.6
1,5463,33,1.6
1,8194,33,1.55
1,10925,33,1.65
1,13656,33,1.67
1,16387,33,1.69
1,19118,33,1.67
1,21849,33,1.71
1,24580,33,1.68
1,27311,33,1.73
1,30042,33,1.75
1,32773,33,1.69
1,35504,33,1.67
1,38235,33,1.73
1,40966,33,1.69
1,43697,33,1.69
1,46428,33,1.68
1,49159,33,1.65
1,51890,33,1.59
1,54621,33,1.56
1,57352,33,1.54
1,60083,33,1.56
1,62814,33,1.52
1,65535,33,1.54
1,1,65,1.52
1,2732,65,1.56
1,5463,65,1.56
1,8194,65,1.58
1,10925,65,1.68
1,13656,65,1.63
1,16387,65,1.73
1,19118,65,1.81
1,21849,65,1.9
1,24580,65,1.85
1,27311,65,1.89
1,30042,65,1.89
1,32773,65,1.92
1,35504,65,1.89
1,38235,65,1.87
1,40966,65,1.83
1,43697,65,1.75
1,46428,65,1.8
1,49159,65,1.64
1,51890,65,1.52
1,54621,65,1.52
1,57352,65,1.47
1,60083,65,1.54
1,62814,65,1.53
1,65535,65,1.54
1,1,97,1.44
1,2732,97,1.46
1,5463,97,1.57
1,8194,97,1.57
1,10925,97,1.58
1,13656,97,1.62
1,16387,97,1.76
1,19118,97,1.89
1,21849,97,1.95
1,24580,97,1.98
1,27311,97,1.94
1,30042,97,2.1
1,32773,97,2.08
1,35504,97,2.05
1,38235,97,2.01
1,40966,97,1.96
1,43697,97,1.96
1,46428,97,1.83
1,49159,97,1.69
1,51890,97,1.58
1,54621,97,1.5
1,57352,97,1.55
1,60083,97,1.47
1,62814,97,1.44
1,65535,97,1.44
1,1,129,1.36
1,2732,129,1.48
1,5463,129,1.5
1,8194,129,1.48
1,10925,129,1.62
1,13656,129,1.77
1,16387,129,1.88
1,19118,129,1.96
1,21849,129,2.2
1,24580,129,2.18
1,27311,129,2.2
1,30042,129,2.17
1,32773,129,2.25
1,35504,129,2.29
1,38235,129,2.25
1,40966,129,2.29
1,43697,129,2.33
1,46428,129,2.11
