bri,mired,watt
1,153,0.75
1,163,0.75
1,173,0.73
1,183,0.75
1,193,0.74
1,203,0.77
1,213,0.78
1,223,0.74
1,233,0.76
1,243,0.78
1,253,0.78
1,263,0.76
1,273,0.78
1,283,0.77
1,293,0.74
1,303,0.78
1,313,0.76
1,323,0.81
1,333,0.8
1,343,0.79
1,353,0.74
1,363,0.74
1,370,0.76
6,153,0.78
6,163,0.79
6,173,0.76
6,183,0.8
6,193,0.75
6,203,0.8
6,213,0.78
6,223,0.75
6,233,0.8
6,243,0.76
6,253,0.75
6,263,0.74
6,273,0.79
6,283,0.76
6,293,0.82
6,303,0.78
6,313,0.75
6,323,0.77
6,333,0.78
6,343,0.78
6,353,0.76
6,363,0.8
6,370,0.78
11,153,0.85
11,163,0.85
11,173,0.79
11,183,0.83
11,193,0.83
11,203,0.84
11,213,0.82
11,223,0.82
11,233,0.8
11,243,0.85
11,253,0.85
11,263,0.85
11,273,0.83
11,283,0.86
11,293,0.86
11,303,0.87
11,313,0.88
11,323,0.83
11,333,0.85
11,343,0.87
11,353,0.86
11,363,0.86
11,370,0.87
16,153,0.95
16,163,0.96
16,173,0.94
16,183,0.94
16,193,0.94
16,203,0.93
16,213,0.91
16,223,0.95
16,233,0.88
16,243,0.96
16,253,0.91
16,263,0.91
16,273,0.91
16,283,0.87
16,293,0.92
16,303,0.94
16,313,0.93
16,323,0.96
16,333,0.91
16,343,0.9
16,353,0.94
16,363,0.88
16,370,0.9
21,153,1.04
21,163,1
21,173,0.99
21,183,0.97
21,193,0.99
21,203,1.01
21,213,0.96
21,223,1
21,233,1.03
21,243,0.98
21,253,0.98
21,263,0.94
21,273,0.97
21,283,0.99
21,293,0.95
21,303,0.97
21,313,1
21,323,0.97
21,333,0.93
21,343,0.97
21,353,0.97
21,363,0.99
21,370,0.95
26,153,1.07
26,163,1.12
26,173,1.09
26,183,1.03
26,193,1.08
26,203,1.08
26,213,1.1
26,223,1.04
26,233,1.08
26,243,1.04
26,253,1.04
26,263,1.06
26,273,1.04
26,283,1
26,293,1.06
26,303,1.03
26,313,1.04
26,323,1.04
26,333,1.03
26,343,1.03
26,353,1.01
26,363,0.99
26,370,1.03
31,153,1.18
31,163,1.2
31,173,1.2
31,183,1.2
31,193,1.15
31,203,1.19
31,213,1.12
31,223,1.17
31,233,1.14
31,243,1.14
31,253,1.12
31,263,1.12
31,273,1.16
31,283,1.09
31,293,1.14
31,303,1.12
31,313,1.11
31,323,1.11
31,333,1.14
31,343,1.14
31,353,1.1
31,363,1.08
31,370,1.11
36,153,1.29
36,163,1.32
36,173,1.28
36,183,1.24
36,193,1.26
36,203,1.24
36,213,1.26
36,223,1.24
36,233,1.2
36,243,1.24
36,253,1.2
36,263,1.24
36,273,1.22
36,283,1.21
36,293,1.25
36,303,1.23
36,313,1.21
36,323,1.15
36,333,1.2
36,343,1.18
36,353,1.2
36,363,1.19
36,370,1.2
41,153,1.39
41,163,1.37
41,173,1.4
41,183,1.32
41,193,1.34
41,203,1.39
41,213,1.37
41,223,1.34
41,233,1.32
41,243,1.35
41,253,1.3
41,263,1.31
41,273,1.31
41,283,1.35
41,293,1.32
41,303,1.32
41,313,1.32
41,323,1.32
41,333,1.29
41,343,1.3
41,353,1.3
41,363,1.28
41,370,1.28
46,153,1.56
46,163,1.57
46,173,1.49
46,183,1.5
46,193,1.53
46,203,1.49
46,213,1.45
46,223,1.49
46,233,1.48
46,243,1.46
46,253,1.41
46,263,1.44
46,273,1.46
46,283,1.44
46,293,1.45
46,303,1.41
46,313,1.41
46,323,1.4
46,333,1.4
46,343,1.38
46,353,1.39
46,363,1.39
46,370,1.38
51,153,1.68
51,163,1.68
51,173,1.63
51,183,1.64
51,193,1.65
51,203,1.59
51,213,1.61
51,223,1.59
51,233,1.58
51,243,1.57
51,253,1.56
51,263,1.54
51,273,1.56
51,283,1.55
51,293,1.55
51,303,1.53
51,313,1.52
51,323,1.48
51,333,1.52
51,343,1.49
51,353,1.52
51,363,1.51
51,370,1.5
56,153,1.74
56,163,1.76
56,173,1.73
56,183,1.71
56,193,1.69
56,203,1.68
56,213,1.7
56,223,1.66
56,233,1.66
56,243,1.62
56,253,1.62
56,263,1.64
56,273,1.6
56,283,1.61
56,293,1.58
56,303,1.57
56,313,1.59
56,323,1.6
56,333,1.57
56,343,1.57
56,353,1.54
56,363,1.57
56,370,1.57
61,153,1.9
61,163,1.87
61,173,1.87
61,183,1.87
61,193,1.81
61,203,1.84
61,213,1.81
61,223,1.75
61,233,1.77
61,243,1.73
61,253,1.79
61,263,1.76
61,273,1.71
61,283,1.74
61,293,1.72
61,303,1.73
61,313,1.74
61,323,1.7
61,333,1.69
61,343,1.68
61,353,1.67
61,363,1.67
61,370,1.69
66,153,2.12
66,163,2.01
66,173,2.06
66,183,1.97
66,193,1.97
66,203,1.91
66,213,1.95
66,223,1.95
66,233,1.9
66,243,1.92
66,253,1.89
66,263,1.9
66,273,1.85
66,283,1.85
66,293,1.87
66,303,1.88
66,313,1.83
66,323,1.82
66,333,1.78
66,343,1.78
66,353,1.76
66,363,1.78
66,370,1.79
71,153,2.21
71,163,2.24
71,173,2.2
71,183,2.16
71,193,2.14
71,203,2.12
71,213,2.08
71,223,2.08
71,233,2.06
71,243,2.03
71,253,1.99
71,263,2.03
71,273,2.01
71,283,1.99
71,293,2.02
71,303,1.96
71,313,1.91
71,323,1.94
71,333,1.96
71,343,1.9
71,353,1.92
71,363,1.9
71,370,1.95
76,153,2.49
76,163,2.35
76,173,2.34
76,183,2.34
76,193,2.31
76,203,2.26
76,213,2.24
76,223,2.24
76,233,2.19
76,243,2.2
76,253,2.17
76,263,2.12
76,273,2.14
76,283,2.15
76,293,2.16
76,303,2.12
76,313,2.08
76,323,2.12
76,333,2.13
76,343,2.05
76,353,2.06
76,363,2.05
76,370,2.08
81,153,2.59
81,163,2.63
81,173,2.6
81,183,2.45
81,193,2.48
81,203,2.47
81,213,2.42
81,223,2.36
81,233,2.39
81,243,2.38
81,253,2.35
81,263,2.34
81,273,2.32
81,283,2.29
81,293,2.3
81,303,2.31
81,313,2.24
81,323,2.23
81,333,2.24
81,343,2.25
81,353,2.22
81,363,2.21
81,370,2.22
86,153,2.84
86,163,2.84
86,173,2.72
86,183,2.66
86,193,2.68
86,203,2.63
86,213,2.61
86,223,2.62
86,233,2.53
86,243,2.52
86,253,2.52
86,263,2.46
86,273,2.47
86,283,2.49
86,293,2.49
86,303,2.44
86,313,2.4
86,323,2.41
86,333,2.41
86,343,2.33
86,353,2.39
86,363,2.34
86,370,2.38
91,153,3.08
91,163,3.02
91,173,2.97
91,183,2.94
91,193,2.86
91,203,2.81
91,213,2.79
91,223,2.73
91,233,2.73
91,243,2.72
91,253,2.7
91,263,2.65
91,273,2.66
91,283,2.66
91,293,2.65
91,303,2.68
91,313,2.58
91,323,2.62
91,333,2.58
91,343,2.57
91,353,2.49
91,363,2.53
91,370,2.51
96,153,3.27
96,163,3.25
96,173,3.17
96,183,3.08
96,193,3.1
96,203,3
96,213,2.95
96,223,2.97
96,233,2.87
96,243,2.86
96,253,2.83
96,263,2.84
96,273,2.83
96,283,2.82
96,293,2.81
96,303,2.79
96,313,2.74
96,323,2.78
96,333,2.71
96,343,2.72
96,353,2.7
96,363,2.73
96,370,2.73
101,153,3.52
101,163,3.49
101,173,3.36
101,183,3.32
101,193,3.25
101,203,3.23
101,213,3.18
101,223,3.15
101,233,3.1
101,243,3.09
101,253,3.07
101,263,3.04
101,273,2.99
101,283,3
101,293,2.96
101,303,2.95
101,313,2.91
101,323,2.89
101,333,2.89
101,343,2.84
101,353,2.84
101,363,2.84
101,370,2.87
106,153,3.74
106,163,3.66
106,173,3.63
106,183,3.53
106,193,3.48
106,203,3.41
106,213,3.42
106,223,3.34
106,233,3.3
106,243,3.28
106,253,3.24
106,263,3.23
106,273,3.18
106,283,3.2
106,293,3.16
106,303,3.16
106,313,3.14
106,323,3.11
106,333,3.1
106,343,3.05
106,353,3.03
106,363,3.01
106,370,3.07
111,153,3.98
111,163,3.93
111,173,3.79
111,183,3.74
111,193,3.7
111,203,3.66
111,213,3.62
111,223,3.56
111,233,3.52
111,243,3.5
111,253,3.42
111,263,3.41
111,273,3.42
111,283,3.37
111,293,3.37
111,303,3.34
111,313,3.32
111,323,3.28
111,333,3.3
111,343,3.25
111,353,3.25
111,363,3.2
111,370,3.28
116,153,4.16
116,163,4.12
116,173,4.08
116,183,4.02
116,193,4
116,203,3.93
116,213,3.88
116,223,3.81
116,233,3.74
116,243,3.73
116,253,3.62
116,263,3.62
116,273,3.61
116,283,3.61
116,293,3.62
116,303,3.61
116,313,3.52
116,323,3.47
116,333,3.45
116,343,3.45
116,353,3.45
116,363,3.41
116,370,3.42
121,153,4.47
121,163,4.4
121,173,4.31
121,183,4.22
121,193,4.16
121,203,4.13
121,213,4.08
121,223,4
121,233,3.96
121,243,3.99
121,253,3.86
121,263,3.86
121,273,3.85
121,283,3.82
121,293,3.81
121,303,3.74
121,313,3.75
121,323,3.72
121,333,3.71
121,343,3.73
121,353,3.65
121,363,3.69
121,370,3.66
126,153,4.73
126,163,4.67
126,173,4.55
126,183,4.41
126,193,4.43
126,203,4.33
126,213,4.31
126,223,4.24
126,233,4.21
126,243,4.16
126,253,4.07
126,263,4.01
126,273,4.04
126,283,4.07
126,293,4.01
126,303,3.98
126,313,3.92
126,323,3.91
126,333,3.87
126,343,3.87
126,353,3.83
126,363,3.79
126,370,3.85
131,153,4.99
131,163,4.94
131,173,4.82
131,183,4.74
131,193,4.67
131,203,4.59
131,213,4.57
131,223,4.49
131,233,4.42
131,243,4.41
131,253,4.32
131,263,4.26
131,273,4.24
131,283,4.29
131,293,4.25
131,303,4.23
131,313,4.1
131,323,4.12
131,333,4.12
131,343,4.02
131,353,4.03
131,363,4
131,370,3.97
136,153,5.28
136,163,5.14
136,173,5.04
136,183,4.99
136,193,4.93
136,203,4.84
136,213,4.83
136,223,4.69
136,233,4.68
136,243,4.65
136,253,4.58
136,263,4.5
136,273,4.51
136,283,4.51
136,293,4.48
136,303,4.41
136,313,4.34
136,323,4.37
136,333,4.32
136,343,4.27
136,353,4.24
136,363,4.19
136,370,4.22
141,153,5.6
141,163,5.43
141,173,5.34
141,183,5.17
141,193,5.16
141,203,5.07
141,213,5.1
141,223,4.96
141,233,4.84
141,243,4.9
141,253,4.78
141,263,4.75
141,273,4.73
141,283,4.72
141,293,4.72
141,303,4.67
141,313,4.59
141,323,4.51
141,333,4.56
141,343,4.52
141,353,4.49
141,363,4.42
141,370,4.45
146,153,5.88
146,163,5.81
146,173,5.68
146,183,5.5
146,193,5.48
146,203,5.35
146,213,5.32
146,223,5.23
146,233,5.17
146,243,5.14
146,253,5.03
146,263,4.98
146,273,4.96
146,283,5.05
146,293,4.94
146,303,4.92
146,313,4.82
146,323,4.77
146,333,4.82
146,343,4.76
146,353,4.66
146,363,4.69
146,370,4.68
151,153,6.18
151,163,6.06
151,173,5.91
151,183,5.77
151,193,5.76
151,203,5.64
151,213,5.58
151,223,5.49
151,233,5.43
151,243,5.43
151,253,5.32
151,263,5.28
151,273,5.22
151,283,5.23
151,293,5.16
151,303,5.13
151,313,5.01
151,323,5.03
151,333,5.03
151,343,4.94
151,353,4.98
151,363,4.91
151,370,4.94
156,153,6.47
156,163,6.33
156,173,6.24
156,183,6.12
156,193,6.05
156,203,5.97
156,213,5.86
156,223,5.79
156,233,5.66
156,243,5.68
156,253,5.61
156,263,5.51
156,273,5.49
156,283,5.51
156,293,5.45
156,303,5.39
156,313,5.26
156,323,5.29
156,333,5.24
156,343,5.18
156,353,5.14
156,363,5.14
156,370,5.18
161,153,6.77
161,163,6.59
161,173,6.5
161,183,6.39
161,193,6.31
161,203,6.18
161,213,6.2
161,223,6
161,233,5.95
161,243,5.99
161,253,5.82
161,263,5.81
161,273,5.76
161,283,5.78
161,293,5.73
161,303,5.72
161,313,5.59
161,323,5.5
161,333,5.49
161,343,5.4
161,353,5.4
161,363,5.38
161,370,5.41
166,153,7.15
166,163,6.94
166,173,6.82
166,183,6.62
166,193,6.62
166,203,6.49
166,213,6.43
166,223,6.34
166,233,6.22
166,243,6.25
166,253,6.16
166,263,6.02
166,273,6.04
166,283,6.04
166,293,6.03
166,303,5.93
166,313,5.82
166,323,5.82
166,333,5.78
166,343,5.66
166,353,5.62
166,363,5.67
166,370,5.66
171,153,7.48
171,163,7.27
171,173,7.12
171,183,7
171,193,6.92
171,203,6.77
171,213,6.7
171,223,6.61
171,233,6.51
171,243,6.51
171,253,6.45
171,263,6.31
171,273,6.29
171,283,6.3
171,293,6.31
171,303,6.22
171,313,6.06
171,323,6.03
171,333,6.06
171,343,5.99
171,353,5.87
171,363,5.88
171,370,5.91
176,153,7.82
176,163,7.63
176,173,7.47
176,183,7.26
176,193,7.24
176,203,7.08
176,213,7.05
176,223,6.87
176,233,6.79
176,243,6.81
176,253,6.67
176,263,6.56
176,273,6.6
176,283,6.59
176,293,6.54
176,303,6.47
176,313,6.41
176,323,6.34
176,333,6.3
176,343,6.23
176,353,6.13
176,363,6.2
176,370,6.16
181,153,8.04
181,163,7.84
181,173,7.63
181,183,7.43
181,193,7.39
181,203,7.2
181,213,7.24
181,223,7.01
181,233,6.99
181,243,6.99
181,253,6.83
181,263,6.72
181,273,6.77
181,283,6.74
181,293,6.7
181,303,6.58
181,313,6.53
181,323,6.45
181,333,6.45
181,343,6.33
181,353,6.32
181,363,6.34
181,370,6.32
186,153,8.31
186,163,8.25
186,173,7.98
186,183,7.76
186,193,7.78
186,203,7.56
186,213,7.49
186,223,7.32
186,233,7.32
186,243,7.27
186,253,7.1
186,263,7.03
186,273,7.04
186,283,7.06
186,293,6.99
186,303,6.89
186,313,6.77
186,323,6.67
186,333,6.74
186,343,6.58
186,353,6.58
186,363,6.54
186,370,6.6
191,153,8.62
191,163,8.56
191,173,8.32
191,183,8.1
191,193,8.11
191,203,7.93
191,213,7.9
191,223,7.6
191,233,7.59
191,243,7.61
191,253,7.43
191,263,7.34
191,273,7.36
191,283,7.42
191,293,7.36
191,303,7.24
191,313,6.99
191,323,7.04
191,333,7.04
191,343,6.81
191,353,6.81
191,363,6.86
191,370,6.86
196,153,9.1
196,163,8.96
196,173,8.76
196,183,8.43
196,193,8.41
196,203,8.26
196,213,8.19
196,223,8
196,233,7.92
196,243,7.93
196,253,7.76
196,263,7.63
196,273,7.62
196,283,7.68
196,293,7.62
196,303,7.49
196,313,7.31
196,323,7.32
196,333,7.31
196,343,7.19
196,353,7.09
196,363,7.14
196,370,7.14
201,153,9.49
201,163,9.34
201,173,9.1
201,183,8.79
201,193,8.78
201,203,8.58
201,213,8.57
201,223,8.33
201,233,8.28
201,243,8.23
201,253,8.06
201,263,7.95
201,273,7.97
201,283,8.02
201,293,7.89
201,303,7.82
201,313,7.58
201,323,7.61
201,333,7.63
201,343,7.45
201,353,7.43
201,363,7.45
201,370,7.41
206,153,9.88
206,163,9.68
206,173,9.5
206,183,9.21
206,193,9.11
206,203,9.06
206,213,8.88
206,223,8.64
206,233,8.64
206,243,8.64
206,253,8.43
206,263,8.29
206,273,8.31
206,283,8.3
206,293,8.24
206,303,8.14
206,313,7.97
206,323,7.9
206,333,7.99
206,343,7.77
206,353,7.73
206,363,7.7
206,370,7.72
211,153,10.31
211,163,10.04
211,173,9.82
211,183,9.64
211,193,9.56
211,203,9.36
211,213,9.28
211,223,9.13
211,233,8.95
211,243,8.89
211,253,8.7
211,263,8.64
211,273,8.7
211,283,8.63
211,293,8.64
211,303,8.42
211,313,8.27
211,323,8.25
211,333,8.24
211,343,8.07
211,353,8.07
211,363,8.03
211,370,8.01
216,153,10.7
216,163,10.42
216,173,10.24
216,183,9.95
216,193,9.91
216,203,9.71
216,213,9.66
216,223,9.39
216,233,9.33
216,243,9.31
216,253,9.04
216,263,9.02
216,273,9.01
216,283,8.96
216,293,8.97
216,303,8.84
216,313,8.61
216,323,8.63
216,333,8.56
216,343,8.48
216,353,8.37
216,363,8.38
216,370,8.32
221,153,11.15
221,163,10.82
221,173,10.64
221,183,10.42
221,193,10.36
221,203,10.08
221,213,10.02
221,223,9.66
221,233,9.71
221,243,9.66
221,253,9.43
221,263,9.32
221,273,9.32
221,283,9.38
221,293,9.23
221,303,9.13
221,313,8.93
221,323,8.91
221,333,8.91
221,343,8.71
221,353,8.66
221,363,8.61
221,370,8.61
226,153,11.48
226,163,11.19
226,173,11
226,183,10.77
226,193,10.66
226,203,10.39
226,213,10.35
226,223,10.09
226,233,10.01
226,243,10.04
226,253,9.74
226,263,9.72
226,273,9.67
226,283,9.65
226,293,9.63
226,303,9.49
226,313,9.31
226,323,9.27
226,333,9.23
226,343,8.94
226,353,8.95
226,363,8.96
226,370,9.02
231,153,11.79
231,163,11.65
231,173,11.46
231,183,11.07
231,193,11.1
231,203,10.81
231,213,10.79
231,223,10.44
231,233,10.39
231,243,10.43
231,253,10.1
231,263,10.02
231,273,10.07
231,283,10.07
231,293,9.94
231,303,9.82
231,313,9.62
231,323,9.51
231,333,9.53
231,343,9.38
231,353,9.28
231,363,9.32
231,370,9.24
236,153,11.84
236,163,11.81
236,173,11.77
236,183,11.58
236,193,11.46
236,203,11.18
236,213,11.13
236,223,10.82
236,233,10.77
236,243,10.76
236,253,10.39
236,263,10.34
236,273,10.36
236,283,10.4
236,293,10.29
