bri,hue,sat,watt
1,1,1,0.86
1,2732,1,0.82
1,5463,1,0.8
1,8194,1,0.78
1,10925,1,0.82
1,13656,1,0.82
1,16387,1,0.79
1,19118,1,0.79
1,21849,1,0.82
1,24580,1,0.86
1,27311,1,0.79
1,30042,1,0.85
1,32773,1,0.85
1,35504,1,0.82
1,38235,1,0.86
1,40966,1,0.81
1,43697,1,0.82
1,46428,1,0.82
1,49159,1,0.8
1,51890,1,0.8
1,54621,1,0.82
1,57352,1,0.77
1,60083,1,0.78
1,62814,1,0.83
1,65535,1,0.82
1,1,21,0.78
1,2732,21,0.8
1,5463,21,0.78
1,8194,21,0.8
1,10925,21,0.79
1,13656,21,0.76
1,16387,21,0.82
1,19118,21,0.84
1,21849,21,0.83
1,24580,21,0.82
1,27311,21,0.79
1,30042,21,0.82
1,32773,21,0.85
1,35504,21,0.81
1,38235,21,0.81
1,40966,21,0.83
1,43697,21,0.79
1,46428,21,0.83
1,49159,21,0.81
1,51890,21,0.79
1,54621,21,0.83
1,57352,21,0.79
1,60083,21,0.82
1,62814,21,0.81
1,65535,21,0.78
1,1,41,0.79
1,2732,41,0.83
1,5463,41,0.79
1,8194,41,0.8
1,10925,41,0.83
1,13656,41,0.82
1,16387,41,0.87
1,19118,41,0.85
1,21849,41,0.82
1,24580,41,0.81
1,27311,41,0.84
1,30042,41,0.79
1,32773,41,0.81
1,35504,41,0.83
1,38235,41,0.82
1,40966,41,0.82
1,43697,41,0.8
1,46428,41,0.79
1,49159,41,0.78
1,51890,41,0.8
1,54621,41,0.81
1,57352,41,0.79
1,60083,41,0.79
1,62814,41,0.8
1,65535,41,0.8
1,1,61,0.82
1,2732,61,0.78
1,5463,61,0.82
1,8194,61,0.81
1,10925,61,0.84
1,13656,61,0.8
1,16387,61,0.82
1,19118,61,0.8
1,21849,61,0.82
1,24580,61,0.85
1,27311,61,0.83
1,30042,61,0.82
1,32773,61,0.85
1,35504,61,0.82
1,38235,61,0.85
1,40966,61,0.81
1,43697,61,0.82
1,46428,61,0.82
1,49159,61,0.78
1,51890,61,0.82
1,54621,61,0.8
1,57352,61,0.8
1,60083,61,0.8
1,62814,61,0.78
1,65535,61,0.85
1,1,81,0.83
1,2732,81,0.78
1,5463,81,0.82
1,8194,81,0.84
1,10925,81,0.83
1,13656,81,0.85
1,16387,81,0.82
1,19118,81,0.83
1,21849,81,0.86
1,24580,81,0.87
1,27311,81,0.87
1,30042,81,0.87
1,32773,81,0.86
1,35504,81,0.88
1,38235,81,0.83
1,40966,81,0.85
1,43697,81,0.83
1,46428,81,0.84
1,49159,81,0.8
1,51890,81,0.8
1,54621,81,0.82
1,57352,81,0.82
1,60083,81,0.77
1,62814,81,0.82
1,65535,81,0.8
1,1,101,0.79
1,2732,101,0.82
1,5463,101,0.79
1,8194,101,0.85
1,10925,101,0.78
1,13656,101,0.84
1,16387,101,0.82
1,19118,101,0.83
1,21849,101,0.87
1,24580,101,0.89
1,27311,101,0.87
1,30042,101,0.87
1,32773,101,0.86
1,35504,101,0.87
1,38235,101,0.85
1,40966,101,0.87
1,43697,101,0.84
1,46428,101,0.86
1,49159,101,0.87
1,51890,101,0.84
1,54621,101,0.85
1,57352,101,0.8
1,60083,101,0.82
1,62814,101,0.8
1,65535,101,0.83
1,1,121,0.82
1,2732,121,0.83
1,5463,121,0.84
1,8194,121,0.83
1,10925,121,0.83
1,13656,121,0.87
1,16387,121,0.87
1,19118,121,0.89
1,21849,121,0.93
1,24580,121,0.95
1,27311,121,0.91
1,30042,121,0.93
1,32773,121,0.91
1,35504,121,0.93
1,38235,121,0.91
1,40966,121,0.91
1,43697,121,0.91
1,46428,121,0.87
1,49159,121,0.87
1,51890,121,0.83
1,54621,121,0.85
1,57352,121,0.87
1,60083,121,0.88
1,62814,121,0.83
1,65535,121,0.82
1,1,141,0.86
1,2732,141,0.86
1,5463,141,0.83
1,8194,141,0.87
1,10925,141,0.87
1,13656,141,0.85
1,16387,141,0.87
1,19118,141,0.96
1,21849,141,0.97
1,24580,141,0.96
1,27311,141,0.95
1,30042,141,0.91
1,32773,141,0.95
1,35504,141,0.95
1,38235,141,0.91
1,40966,141,0.95
1,43697,141,0.93
1,46428,141,0.95
1,49159,141,0.91
1,51890,141,0.87
1,54621,141,0.87
1,57352,141,0.86
1,60083,141,0.83
1,62814,141,0.85
1,65535,141,0.85
1,1,161,0.87
1,2732,161,0.83
1,5463,161,0.86
1,8194,161,0.88
1,10925,161,0.87
1,13656,161,0.85
1,16387,161,0.89
1,19118,161,0.91
1,21849,161,0.93
1,24580,161,0.94
1,27311,161,0.91
1,30042,161,0.93
