bri,mired,watt
1,153,2.52
1,163,2.54
1,173,2.73
1,183,2.81
1,193,2.67
1,203,2.8
1,213,2.63
1,223,2.7
1,233,2.82
1,243,2.67
1,253,2.82
1,263,2.81
1,273,2.66
1,283,2.59
1,293,2.74
1,303,2.75
1,313,2.81
1,323,2.73
1,333,2.69
1,343,2.72
1,353,2.7
1,363,2.63
1,373,2.62
1,383,2.53
1,393,2.71
1,403,2.72
1,413,2.54
1,423,2.54
1,433,2.69
1,443,2.74
1,453,2.69
1,463,2.56
1,473,2.64
1,483,2.69
1,493,2.7
1,503,2.7
1,513,2.67
1,523,2.66
1,533,2.58
1,543,2.63
1,553,2.76
1,563,2.61
1,573,2.69
1,583,2.66
1,588,2.7
6,153,3.01
6,163,2.88
6,173,2.96
6,183,2.85
6,193,2.87
6,203,2.84
6,213,2.86
6,223,2.81
6,233,2.85
6,243,2.83
6,253,2.84
6,263,2.76
6,273,2.89
6,283,2.84
6,293,2.75
6,303,2.75
6,313,2.74
6,323,2.78
6,333,2.8
6,343,2.86
6,353,2.88
6,363,2.72
6,373,2.66
6,383,2.84
6,393,2.77
6,403,2.74
6,413,2.81
6,423,2.78
6,433,2.64
6,443,2.86
6,453,2.68
6,463,2.77
6,473,2.76
6,483,2.81
6,493,2.76
6,503,2.89
6,513,2.81
6,523,2.81
6,533,2.65
6,543,2.74
6,553,2.71
6,563,2.7
6,573,2.77
6,583,2.76
6,588,2.78
11,153,3.17
11,163,3.14
11,173,3.19
11,183,3.02
11,193,3.14
11,203,3.09
11,213,3.08
11,223,3.06
11,233,3.04
11,243,3.14
11,253,2.96
11,263,2.94
11,273,3.03
11,283,2.98
11,293,3.04
11,303,3.11
11,313,2.95
11,323,3.05
11,333,3.07
11,343,3.1
11,353,2.99
11,363,3.0
11,373,3.15
11,383,2.98
11,393,2.95
11,403,3.05
11,413,2.93
11,423,2.94
11,433,2.97
11,443,3.02
11,453,2.97
11,463,2.93
11,473,2.99
11,483,3.09
11,493,3.08
11,503,3.04
11,513,2.93
11,523,2.98
11,533,3.02
11,543,2.98
11,553,3.02
11,563,2.97
11,573,2.95
11,583,3.11
11,588,2.99
16,153,3.35
16,163,3.37
16,173,3.35
16,183,3.26
16,193,3.28
16,203,3.22
16,213,3.29
16,223,3.25
16,233,3.17
16,243,3.3
16,253,3.24
16,263,3.3
16,273,3.17
16,283,3.22
16,293,3.27
16,303,3.2
16,313,3.25
16,323,3.26
16,333,3.22
16,343,3.32
16,353,3.19
16,363,3.17
16,373,3.14
16,383,3.27
16,393,3.11
16,403,3.16
16,413,3.28
16,423,3.13
16,433,3.13
16,443,3.21
16,453,3.19
16,463,3.23
16,473,3.27
16,483,3.24
16,493,3.21
16,503,3.14
16,513,3.22
16,523,3.19
16,533,3.18
16,543,3.14
16,553,3.2
16,563,3.17
16,573,3.21
16,583,3.22
16,588,3.19
21,153,3.57
21,163,3.54
21,173,3.6
21,183,3.63
21,193,3.52
21,203,3.43
21,213,3.53
21,223,3.51
21,233,3.48
21,243,3.38
21,253,3.39
21,263,3.42
21,273,3.55
21,283,3.52
21,293,3.59
21,303,3.47
21,313,3.44
21,323,3.48
21,333,3.53
21,343,3.47
21,353,3.41
21,363,3.47
21,373,3.28
21,383,3.42
21,393,3.33
21,403,3.39
21,413,3.32
21,423,3.36
21,433,3.25
21,443,3.27
21,453,3.43
21,463,3.44
21,473,3.33
21,483,3.4
21,493,3.29
21,503,3.33
21,513,3.34
21,523,3.5
21,533,3.42
21,543,3.44
21,553,3.38
21,563,3.36
21,573,3.45
21,583,3.43
21,588,3.43
26,153,3.87
26,163,3.96
26,173,3.75
26,183,3.81
26,193,3.77
26,203,3.67
26,213,3.73
26,223,3.84
26,233,3.79
26,243,3.67
26,253,3.72
26,263,3.69
26,273,3.7
26,283,3.67
26,293,3.73
26,303,3.74
26,313,3.58
26,323,3.75
26,333,3.73
26,343,3.66
26,353,3.46
26,363,3.64
26,373,3.56
26,383,3.59
26,393,3.5
26,403,3.48
26,413,3.51
26,423,3.57
26,433,3.62
26,443,3.69
26,453,3.58
26,463,3.63
26,473,3.56
26,483,3.41
26,493,3.62
26,503,3.6
26,513,3.65
26,523,3.57
26,533,3.59
26,543,3.7
26,553,3.54
26,563,3.62
26,573,3.51
26,583,3.61
26,588,3.65
31,153,4.06
31,163,4.03
31,173,4.06
31,183,3.85
31,193,3.9
31,203,3.95
31,213,3.87
31,223,3.96
31,233,3.85
31,243,3.84
31,253,3.89
31,263,3.88
31,273,3.97
31,283,3.88
31,293,3.84
31,303,3.87
31,313,4.02
31,323,3.9
31,333,3.89
31,343,3.72
31,353,3.71
31,363,3.72
31,373,3.86
31,383,3.79
31,393,3.84
31,403,3.78
31,413,3.85
31,423,3.8
31,433,3.98
31,443,3.65
31,453,3.81
31,463,3.74
31,473,3.76
31,483,3.85
31,493,3.72
31,503,3.75
31,513,3.75
31,523,3.94
31,533,3.86
31,543,3.72
31,553,3.78
31,563,3.77
31,573,3.78
31,583,3.73
31,588,3.79
36,153,4.36
36,163,4.18
36,173,4.27
36,183,4.25
36,193,4.19
36,203,4.19
36,213,4.1
36,223,4.14
36,233,4.14
36,243,4.17
36,253,4.05
36,263,4.03
36,273,4.1
36,283,4.25
36,293,4.08
36,303,4.06
36,313,4.24
36,323,4.15
36,333,4.04
36,343,4.03
36,353,3.97
36,363,4.04
36,373,4.03
36,383,4.08
36,393,3.94
36,403,3.88
36,413,4.0
36,423,3.99
36,433,4.02
36,443,4.02
36,453,3.95
36,463,3.97
36,473,3.99
36,483,3.88
36,493,3.99
36,503,4.08
36,513,3.88
36,523,4.04
36,533,3.97
36,543,3.96
36,553,4.09
36,563,4.09
36,573,3.85
36,583,4.01
36,588,3.96
41,153,4.49
41,163,4.51
41,173,4.43
41,183,4.41
41,193,4.35
41,203,4.33
41,213,4.26
41,223,4.33
41,233,4.4
41,243,4.43
41,253,4.28
41,263,4.36
41,273,4.34
41,283,4.46
41,293,4.37
41,303,4.44
41,313,4.43
41,323,4.32
41,333,4.31
41,343,4.31
41,353,4.32
41,363,4.16
41,373,4.16
41,383,4.24
41,393,4.2
41,403,4.15
41,413,4.12
41,423,4.14
41,433,4.25
41,443,4.17
41,453,4.1
41,463,4.1
41,473,4.19
41,483,4.32
41,493,4.2
41,503,4.2
41,513,4.24
41,523,4.29
41,533,4.21
41,543,4.18
41,553,4.18
41,563,4.2
41,573,4.22
41,583,4.18
41,588,4.25
46,153,4.63
46,163,4.73
46,173,4.72
46,183,4.67
46,193,4.59
46,203,4.66
46,213,4.6
46,223,4.67
46,233,4.57
46,243,4.55
46,253,4.49
46,263,4.53
46,273,4.58
46,283,4.55
46,293,4.56
46,303,4.42
46,313,4.67
46,323,4.53
46,333,4.53
46,343,4.4
46,353,4.41
46,363,4.37
46,373,4.27
46,383,4.31
46,393,4.42
46,403,4.42
46,413,4.57
46,423,4.33
46,433,4.39
46,443,4.36
46,453,4.42
46,463,4.27
46,473,4.32
46,483,4.41
46,493,4.49
46,503,4.32
46,513,4.39
46,523,4.41
46,533,4.35
46,543,4.45
46,553,4.3
46,563,4.37
46,573,4.36
46,583,4.3
46,588,4.35
51,153,5.04
51,163,4.88
51,173,4.93
51,183,4.94
51,193,4.75
51,203,4.78
51,213,4.89
51,223,4.78
51,233,4.68
51,243,4.72
51,253,4.76
51,263,4.72
51,273,4.73
51,283,4.73
51,293,4.65
51,303,4.9
51,313,4.8
51,323,4.8
51,333,4.67
51,343,4.77
51,353,4.57
51,363,4.63
51,373,4.51
51,383,4.69
51,393,4.56
51,403,4.49
51,413,4.58
51,423,4.6
51,433,4.56
51,443,4.71
51,453,4.62
51,463,4.58
51,473,4.57
51,483,4.64
51,493,4.65
51,503,4.67
51,513,4.68
51,523,4.57
51,533,4.53
51,543,4.45
51,553,4.45
51,563,4.52
51,573,4.55
51,583,4.57
51,588,4.75
56,153,5.08
56,163,5.08
56,173,5.08
56,183,5.0
56,193,4.89
56,203,4.89
56,213,4.91
56,223,4.85
56,233,4.95
56,243,4.93
56,253,4.96
