bri,hue,sat,watt
1,1,1,2.56
1,2732,1,2.58
1,5463,1,2.58
1,8194,1,2.58
1,10925,1,2.55
1,13656,1,2.53
1,16387,1,2.59
1,19118,1,2.55
1,21849,1,2.59
1,24580,1,2.6
1,27311,1,2.57
1,30042,1,2.57
1,32773,1,2.57
1,35504,1,2.55
1,38235,1,2.59
1,40966,1,2.56
1,43697,1,2.49
1,46428,1,2.56
1,49159,1,2.57
1,51890,1,2.58
1,54621,1,2.56
1,57352,1,2.57
1,60083,1,2.55
1,62814,1,2.55
1,65535,1,2.6
1,1,21,2.56
1,2732,21,2.57
1,5463,21,2.58
1,8194,21,2.56
1,10925,21,2.56
1,13656,21,2.54
1,16387,21,2.58
1,19118,21,2.56
1,21849,21,2.57
1,24580,21,2.58
1,27311,21,2.52
1,30042,21,2.54
1,32773,21,2.53
1,35504,21,2.53
1,38235,21,2.53
1,40966,21,2.53
1,43697,21,2.59
1,46428,21,2.59
1,49159,21,2.58
1,51890,21,2.55
1,54621,21,2.58
1,57352,21,2.56
1,60083,21,2.54
1,62814,21,2.56
1,65535,21,2.52
1,1,41,2.57
1,2732,41,2.56
1,5463,41,2.55
1,8194,41,2.57
1,10925,41,2.51
1,13656,41,2.49
1,16387,41,2.53
1,19118,41,2.55
1,21849,41,2.56
1,24580,41,2.57
1,27311,41,2.52
1,30042,41,2.58
1,32773,41,2.57
1,35504,41,2.55
1,38235,41,2.56
1,40966,41,2.61
1,43697,41,2.52
1,46428,41,2.56
1,49159,41,2.55
1,51890,41,2.58
1,54621,41,2.57
1,57352,41,2.56
1,60083,41,2.55
1,62814,41,2.53
1,65535,41,2.51
1,1,61,2.56
1,2732,61,2.53
1,5463,61,2.48
1,8194,61,2.53
1,10925,61,2.55
1,13656,61,2.5
1,16387,61,2.54
1,19118,61,2.53
1,21849,61,2.52
1,24580,61,2.52
1,27311,61,2.54
1,30042,61,2.53
1,32773,61,2.55
1,35504,61,2.5
1,38235,61,2.52
1,40966,61,2.53
1,43697,61,2.53
1,46428,61,2.58
1,49159,61,2.56
1,51890,61,2.54
1,54621,61,2.56
1,57352,61,2.52
1,60083,61,2.56
1,62814,61,2.56
1,65535,61,2.49
1,1,81,2.54
1,2732,81,2.56
1,5463,81,2.52
1,8194,81,2.53
1,10925,81,2.53
1,13656,81,2.55
1,16387,81,2.58
1,19118,81,2.56
1,21849,81,2.52
1,24580,81,2.59
1,27311,81,2.56
1,30042,81,2.52
1,32773,81,2.53
1,35504,81,2.56
1,38235,81,2.57
1,40966,81,2.57
1,43697,81,2.56
1,46428,81,2.55
1,49159,81,2.52
1,51890,81,2.55
1,54621,81,2.57
1,57352,81,2.52
1,60083,81,2.53
1,62814,81,2.54
1,65535,81,2.51
1,1,101,2.55
1,2732,101,2.52
1,5463,101,2.53
1,8194,101,2.51
1,10925,101,2.55
1,13656,101,2.53
1,16387,101,2.51
1,19118,101,2.52
1,21849,101,2.58
1,24580,101,2.53
1,27311,101,2.56
1,30042,101,2.55
1,32773,101,2.53
1,35504,101,2.53
1,38235,101,2.56
1,40966,101,2.51
1,43697,101,2.5
1,46428,101,2.56
1,49159,101,2.53
1,51890,101,2.52
1,54621,101,2.54
1,57352,101,2.56
1,60083,101,2.61
1,62814,101,2.51
1,65535,101,2.52
1,1,121,2.54
1,2732,121,2.5
1,5463,121,2.5
1,8194,121,2.51
1,10925,121,2.49
1,13656,121,2.58
1,16387,121,2.55
1,19118,121,2.51
1,21849,121,2.5
1,24580,121,2.45
1,27311,121,2.54
1,30042,121,2.51
1,32773,121,2.55
1,35504,121,2.49
1,38235,121,2.58
1,40966,121,2.58
1,43697,121,2.63
1,46428,121,2.61
1,49159,121,2.54
1,51890,121,2.53
1,54621,121,2.57
1,57352,121,2.49
1,60083,121,2.54
1,62814,121,2.54
1,65535,121,2.49
1,1,141,2.5
1,2732,141,2.59
1,5463,141,2.49
1,8194,141,2.56
1,10925,141,2.56
1,13656,141,2.56
1,16387,141,2.51
1,19118,141,2.53
1,21849,141,2.6
1,24580,141,2.53
1,27311,141,2.51
1,30042,141,2.57
1,32773,141,2.51
1,35504,141,2.5
1,38235,141,2.56
1,40966,141,2.57
1,43697,141,2.55
1,46428,141,2.58
1,49159,141,2.53
1,51890,141,2.53
1,54621,141,2.56
1,57352,141,2.62
1,60083,141,2.51
1,62814,141,2.54
1,65535,141,2.53
1,1,161,2.6
1,2732,161,2.58
1,5463,161,2.53
1,8194,161,2.51
1,10925,161,2.55
1,13656,161,2.57
1,16387,161,2.57
1,19118,161,2.56
1,21849,161,2.51
1,24580,161,2.5
1,27311,161,2.52
1,30042,161,2.56
1,32773,161,2.5
1,35504,161,2.53
1,38235,161,2.47
1,40966,161,2.5
1,43697,161,2.46
1,46428,161,2.42
1,49159,161,2.51
1,51890,161,2.51
1,54621,161,2.46
1,57352,161,2.46
1,60083,161,2.46
1,62814,161,2.41
1,65535,161,2.48
1,1,181,2.51
1,2732,181,2.4
1,5463,181,2.43
1,8194,181,2.46
1,10925,181,2.42
1,13656,181,2.45
1,16387,181,2.43
1,19118,181,2.45
1,21849,181,2.45
1,24580,181,2.45
1,27311,181,2.42
1,30042,181,2.47
1,32773,181,2.42
1,35504,181,2.42
1,38235,181,2.44
1,40966,181,2.47
1,43697,181,2.45
1,46428,181,2.43
1,49159,181,2.44
1,51890,181,2.46
1,54621,181,2.51
1,57352,181,2.49
1,60083,181,2.45
1,62814,181,2.51
1,65535,181,2.49
1,1,201,2.45
1,2732,201,2.45
1,5463,201,2.49
1,8194,201,2.43
1,10925,201,2.46
1,13656,201,2.53
1,16387,201,2.43
1,19118,201,2.5
1,21849,201,2.48
1,24580,201,2.46
1,27311,201,2.42
1,30042,201,2.42
1,32773,201,2.48
1,35504,201,2.46
1,38235,201,2.5
1,40966,201,2.49
1,43697,201,2.53
1,46428,201,2.49
