bri,mired,watt
1,50,0.27
1,60,0.31
1,70,0.31
1,80,0.37
1,90,0.41
1,100,0.34
1,110,0.37
1,120,0.34
1,130,0.41
1,140,0.37
1,150,0.34
1,160,0.37
1,170,0.41
1,180,0.37
1,190,0.41
1,200,0.37
1,210,0.44
1,220,0.41
1,230,0.34
1,240,0.41
1,250,0.37
1,260,0.41
1,270,0.37
1,280,0.41
1,290,0.37
1,300,0.34
1,310,0.41
1,320,0.44
1,330,0.41
1,340,0.41
1,350,0.34
1,360,0.37
1,370,0.41
1,380,0.27
1,390,0.37
1,400,0.37
6,50,0.41
6,60,0.41
6,70,0.47
6,80,0.37
6,90,0.37
6,100,0.37
6,110,0.37
6,120,0.41
6,130,0.41
6,140,0.41
6,150,0.41
6,160,0.41
6,170,0.41
6,180,0.37
6,190,0.44
6,200,0.44
6,210,0.41
6,220,0.44
6,230,0.44
6,240,0.41
6,250,0.37
6,260,0.34
6,270,0.41
6,280,0.44
6,290,0.44
6,300,0.41
6,310,0.41
6,320,0.37
6,330,0.37
6,340,0.34
6,350,0.37
6,360,0.44
6,370,0.37
6,380,0.37
6,390,0.44
6,400,0.37
11,50,0.37
11,60,0.44
11,70,0.47
11,80,0.44
11,90,0.41
11,100,0.41
11,110,0.44
11,120,0.37
11,130,0.41
11,140,0.41
11,150,0.41
11,160,0.47
11,170,0.47
11,180,0.47
11,190,0.44
11,200,0.47
11,210,0.44
11,220,0.47
11,230,0.44
11,240,0.44
11,250,0.47
11,260,0.47
11,270,0.47
11,280,0.47
11,290,0.44
11,300,0.34
11,310,0.44
11,320,0.47
11,330,0.44
11,340,0.41
11,350,0.44
11,360,0.44
11,370,0.41
11,380,0.44
11,390,0.44
11,400,0.37
16,50,0.47
16,60,0.47
16,70,0.44
16,80,0.51
16,90,0.47
16,100,0.47
16,110,0.44
16,120,0.44
16,130,0.41
16,140,0.47
16,150,0.41
16,160,0.41
16,170,0.44
16,180,0.47
16,190,0.51
16,200,0.41
16,210,0.44
16,220,0.47
16,230,0.54
16,240,0.47
16,250,0.47
16,260,0.47
16,270,0.54
16,280,0.44
16,290,0.47
16,300,0.47
16,310,0.47
16,320,0.47
16,330,0.41
16,340,0.41
16,350,0.47
16,360,0.41
16,370,0.44
16,380,0.44
16,390,0.51
16,400,0.47
21,50,0.54
21,60,0.44
21,70,0.54
21,80,0.44
21,90,0.44
21,100,0.51
21,110,0.47
21,120,0.51
21,130,0.51
21,140,0.44
21,150,0.51
21,160,0.51
21,170,0.44
21,180,0.51
21,190,0.47
21,200,0.54
21,210,0.51
21,220,0.54
21,230,0.51
21,240,0.51
21,250,0.47
21,260,0.51
21,270,0.54
21,280,0.51
21,290,0.57
21,300,0.51
21,310,0.47
21,320,0.51
21,330,0.54
21,340,0.44
21,350,0.47
21,360,0.54
21,370,0.44
21,380,0.47
21,390,0.51
21,400,0.44
26,50,0.47
26,60,0.51
26,70,0.51
26,80,0.57
26,90,0.51
26,100,0.47
26,110,0.51
26,120,0.54
26,130,0.51
26,140,0.57
26,150,0.51
26,160,0.51
26,170,0.61
26,180,0.54
26,190,0.51
26,200,0.57
26,210,0.57
26,220,0.51
26,230,0.51
26,240,0.57
26,250,0.51
26,260,0.51
26,270,0.57
26,280,0.57
26,290,0.54
26,300,0.57
26,310,0.51
26,320,0.51
26,330,0.54
26,340,0.51
26,350,0.44
26,360,0.54
26,370,0.54
26,380,0.44
26,390,0.54
26,400,0.54
31,50,0.57
31,60,0.57
31,70,0.51
31,80,0.47
31,90,0.51
31,100,0.51
31,110,0.57
31,120,0.51
31,130,0.61
31,140,0.47
31,150,0.61
31,160,0.57
31,170,0.54
31,180,0.57
31,190,0.67
31,200,0.54
31,210,0.57
31,220,0.57
31,230,0.61
31,240,0.57
31,250,0.54
31,260,0.57
31,270,0.57
31,280,0.61
31,290,0.57
31,300,0.54
31,310,0.61
31,320,0.54
31,330,0.61
31,340,0.57
31,350,0.57
31,360,0.54
31,370,0.57
31,380,0.64
31,390,0.54
31,400,0.54
36,50,0.61
36,60,0.57
36,70,0.57
36,80,0.54
36,90,0.64
36,100,0.61
36,110,0.57
36,120,0.54
36,130,0.57
36,140,0.64
36,150,0.57
36,160,0.57
36,170,0.57
36,180,0.61
36,190,0.61
36,200,0.54
36,210,0.64
36,220,0.64
36,230,0.61
36,240,0.57
36,250,0.64
36,260,0.67
36,270,0.61
36,280,0.57
36,290,0.64
36,300,0.64
36,310,0.67
36,320,0.61
36,330,0.67
36,340,0.61
36,350,0.57
