bri,mired,watt
1,153,5.2
1,163,7.3
1,173,7.35
1,183,7.7
1,193,8.05
1,203,8.45
1,213,9
1,223,9.45
1,233,9.15
1,243,8.75
1,253,8.3
1,263,8.05
1,273,7.85
1,283,7.6
1,293,7.35
1,303,7.4
1,313,5.4
1,323,5.3
1,333,5.25
6,153,5.45
6,163,7.6
6,173,7.6
6,183,7.95
6,193,8.2
6,203,8.75
6,213,9.35
6,223,9.75
6,233,9.4
6,243,9.1
6,253,8.6
6,263,8.3
6,273,8
6,283,7.8
6,293,7.55
6,303,7.5
6,313,5.5
6,323,5.55
6,333,5.55
11,153,5.65
11,163,7.85
11,173,7.9
11,183,8.1
11,193,8.7
11,203,9.1
11,213,9.85
11,223,10.35
11,233,10.05
11,243,9.5
11,253,8.85
11,263,8.7
11,273,8.35
11,283,8.15
11,293,8
11,303,7.8
11,313,5.75
11,323,5.8
11,333,5.8
16,153,5.9
16,163,8.05
16,173,8.1
16,183,8.45
16,193,9
16,203,9.55
16,213,10.4
16,223,10.9
16,233,10.5
16,243,9.95
16,253,9.35
16,263,9
16,273,8.75
16,283,8.5
16,293,8.2
16,303,8.1
16,313,6.05
16,323,6.05
16,333,6.05
21,153,6.15
21,163,8.3
21,173,8.35
21,183,8.95
21,193,9.4
21,203,10.1
21,213,10.8
21,223,11.5
21,233,11.15
21,243,10.5
21,253,9.6
21,263,9.4
21,273,9
21,283,8.85
21,293,8.55
21,303,8.4
21,313,6.4
21,323,6.3
21,333,6.3
26,153,6.55
26,163,8.7
26,173,8.7
26,183,9.15
26,193,9.8
26,203,10.55
26,213,11.3
26,223,12
26,233,11.55
26,243,10.85
26,253,10.05
26,263,9.6
26,273,9.4
26,283,9.1
26,293,8.8
26,303,8.65
26,313,6.55
26,323,6.55
26,333,6.5
31,153,6.8
31,163,9.15
31,173,9.05
31,183,9.6
31,193,10.15
31,203,11.05
31,213,11.95
31,223,12.65
31,233,12
31,243,11.2
31,253,10.45
31,263,10
31,273,9.85
31,283,9.55
31,293,9.15
31,303,8.95
31,313,6.9
31,323,6.8
31,333,6.85
36,153,7.15
36,163,9.4
36,173,9.45
36,183,9.9
36,193,10.5
36,203,11.4
36,213,12.3
36,223,13.3
36,233,12.65
36,243,11.9
36,253,11
36,263,10.5
36,273,10.1
36,283,9.85
36,293,9.55
36,303,9.4
36,313,7.25
36,323,7.2
36,333,7.2
41,153,7.4
41,163,9.65
41,173,9.75
41,183,10.25
41,193,11
41,203,12.05
41,213,12.9
41,223,13.75
41,233,13.25
41,243,12.3
41,253,11.4
41,263,10.9
41,273,10.4
41,283,10.2
41,293,9.85
41,303,9.65
41,313,7.55
41,323,7.5
41,333,7.6
46,153,7.65
46,163,10
46,173,10.05
46,183,10.55
