bri,mired,watt
1,153,0.41
1,163,0.42
1,173,0.4
1,183,0.41
1,193,0.42
1,203,0.41
1,213,0.4
1,223,0.41
1,233,0.41
1,243,0.4
1,253,0.41
1,263,0.4
1,273,0.42
1,283,0.41
1,293,0.41
1,303,0.4
1,313,0.43
1,323,0.41
1,333,0.41
1,343,0.41
1,353,0.4
1,363,0.42
1,373,0.42
1,383,0.42
1,393,0.41
1,403,0.42
1,413,0.42
1,423,0.41
1,433,0.4
1,443,0.4
1,453,0.43
1,463,0.4
1,473,0.4
1,483,0.41
1,493,0.41
1,503,0.41
1,513,0.4
1,523,0.4
1,526,0.41
6,153,0.64
6,163,0.61
6,173,0.62
6,183,0.62
6,193,0.64
6,203,0.62
6,213,0.62
6,223,0.62
6,233,0.62
6,243,0.64
6,253,0.64
6,263,0.65
6,273,0.69
6,283,0.68
6,293,0.68
6,303,0.7
6,313,0.71
6,323,0.72
6,333,0.71
6,343,0.71
6,353,0.69
6,363,0.66
6,373,0.64
6,383,0.65
6,393,0.71
6,403,0.7
6,413,0.66
6,423,0.66
6,433,0.66
6,443,0.62
6,453,0.62
6,463,0.64
6,473,0.65
6,483,0.62
6,493,0.61
6,503,0.64
6,513,0.62
6,523,0.65
6,526,0.64
11,153,0.64
11,163,0.62
11,173,0.62
11,183,0.65
11,193,0.64
11,203,0.64
11,213,0.65
11,223,0.65
11,233,0.64
11,243,0.65
11,253,0.65
11,263,0.65
11,273,0.69
11,283,0.68
11,293,0.7
11,303,0.71
11,313,0.71
11,323,0.72
11,333,0.72
11,343,0.72
11,353,0.69
11,363,0.68
11,373,0.66
11,383,0.65
11,393,0.72
11,403,0.7
11,413,0.68
11,423,0.65
11,433,0.62
11,443,0.62
11,453,0.64
11,463,0.62
11,473,0.65
11,483,0.61
11,493,0.64
11,503,0.64
11,513,0.62
11,523,0.62
11,526,0.62
16,153,0.65
16,163,0.65
16,173,0.64
16,183,0.64
16,193,0.65
16,203,0.65
16,213,0.64
16,223,0.61
16,233,0.62
16,243,0.65
16,253,0.65
16,263,0.66
16,273,0.68
16,283,0.7
16,293,0.7
16,303,0.71
16,313,0.74
16,323,0.71
16,333,0.71
16,343,0.72
16,353,0.7
16,363,0.68
16,373,0.64
16,383,0.65
16,393,0.72
16,403,0.7
16,413,0.69
16,423,0.66
16,433,0.65
16,443,0.64
16,453,0.65
16,463,0.65
16,473,0.64
16,483,0.64
16,493,0.62
16,503,0.62
16,513,0.64
16,523,0.65
16,526,0.62
21,153,0.64
21,163,0.64
21,173,0.65
21,183,0.61
21,193,0.65
21,203,0.64
21,213,0.64
21,223,0.64
21,233,0.66
21,243,0.65
21,253,0.65
21,263,0.68
21,273,0.7
21,283,0.68
21,293,0.71
21,303,0.74
21,313,0.7
21,323,0.74
21,333,0.72
21,343,0.72
21,353,0.71
21,363,0.7
21,373,0.65
21,383,0.68
21,393,0.75
21,403,0.7
21,413,0.68
21,423,0.65
21,433,0.65
21,443,0.64
21,453,0.65
21,463,0.64
21,473,0.62
21,483,0.64
21,493,0.62
21,503,0.64
21,513,0.65
21,523,0.62
21,526,0.62
26,153,0.65
26,163,0.65
26,173,0.62
26,183,0.64
26,193,0.65
26,203,0.64
26,213,0.64
26,223,0.64
26,233,0.65
26,243,0.65
26,253,0.66
26,263,0.69
26,273,0.7
26,283,0.71
26,293,0.71
26,303,0.72
26,313,0.74
26,323,0.74
26,333,0.75
26,343,0.74
26,353,0.71
26,363,0.71
26,373,0.7
26,383,0.68
26,393,0.75
26,403,0.7
26,413,0.69
26,423,0.66
26,433,0.66
26,443,0.65
26,453,0.65
26,463,0.66
26,473,0.65
26,483,0.65
26,493,0.66
26,503,0.64
26,513,0.65
26,523,0.64
26,526,0.65
31,153,0.65
31,163,0.66
31,173,0.66
31,183,0.65
31,193,0.66
31,203,0.65
31,213,0.64
31,223,0.64
31,233,0.65
31,243,0.66
31,253,0.68
31,263,0.7
31,273,0.7
31,283,0.72
31,293,0.7
31,303,0.74
31,313,0.75
31,323,0.78
31,333,0.78
31,343,0.74
31,353,0.72
31,363,0.7
31,373,0.68
31,383,0.7
31,393,0.76
31,403,0.72
31,413,0.69
31,423,0.68
31,433,0.65
31,443,0.65
31,453,0.64
31,463,0.64
31,473,0.65
31,483,0.65
31,493,0.64
31,503,0.65
31,513,0.64
31,523,0.64
31,526,0.65
36,153,0.66
36,163,0.65
36,173,0.65
36,183,0.66
36,193,0.65
36,203,0.65
36,213,0.62
36,223,0.68
36,233,0.68
36,243,0.69
36,253,0.69
36,263,0.71
36,273,0.72
36,283,0.72
36,293,0.74
36,303,0.78
36,313,0.75
36,323,0.78
36,333,0.79
36,343,0.78
36,353,0.76
36,363,0.75
36,373,0.71
36,383,0.72
36,393,0.78
36,403,0.72
36,413,0.7
36,423,0.66
36,433,0.65
36,443,0.66
36,453,0.65
36,463,0.65
36,473,0.64
36,483,0.64
36,493,0.64
36,503,0.65
36,513,0.62
36,523,0.65
36,526,0.65
