bri,mired,watt
1,166,0.6
1,176,0.5
1,186,0.5
1,196,0.6
1,206,0.55
1,216,0.5
1,226,0.5
1,236,0.55
1,246,0.6
1,256,0.5
1,266,0.5
1,276,0.6
1,286,0.5
1,296,0.55
1,306,0.55
1,316,0.6
1,326,0.55
1,336,0.5
1,346,0.55
1,356,0.55
1,366,0.6
1,370,0.55
6,166,0.5
6,176,0.5
6,186,0.55
6,196,0.5
6,206,0.5
6,216,0.45
6,226,0.55
6,236,0.5
6,246,0.55
6,256,0.5
6,266,0.45
6,276,0.5
6,286,0.5
6,296,0.6
6,306,0.55
6,316,0.55
6,326,0.55
6,336,0.5
6,346,0.5
6,356,0.55
6,366,0.5
6,370,0.55
11,166,0.55
11,176,0.5
11,186,0.5
11,196,0.6
11,206,0.5
11,216,0.6
11,226,0.5
11,236,0.55
11,246,0.5
11,256,0.55
11,266,0.45
11,276,0.5
11,286,0.55
11,296,0.45
11,306,0.5
11,316,0.5
11,326,0.6
11,336,0.5
11,346,0.5
11,356,0.55
11,366,0.5
11,370,0.5
16,166,0.6
16,176,0.45
16,186,0.5
16,196,0.6
16,206,0.5
16,216,0.5
16,226,0.55
16,236,0.55
16,246,0.55
16,256,0.5
16,266,0.55
16,276,0.55
16,286,0.5
16,296,0.45
16,306,0.5
16,316,0.5
16,326,0.45
16,336,0.5
16,346,0.5
16,356,0.5
16,366,0.6
16,370,0.45
21,166,0.55
21,176,0.45
21,186,0.5
21,196,0.55
21,206,0.55
21,216,0.5
21,226,0.45
21,236,0.5
21,246,0.55
21,256,0.5
21,266,0.55
21,276,0.5
21,286,0.55
21,296,0.5
21,306,0.6
21,316,0.6
21,326,0.5
21,336,0.5
21,346,0.6
21,356,0.5
21,366,0.55
21,370,0.5
26,166,0.6
26,176,0.55
26,186,0.5
26,196,0.5
26,206,0.5
26,216,0.5
26,226,0.55
26,236,0.5
26,246,0.55
26,256,0.5
26,266,0.45
26,276,0.55
26,286,0.45
26,296,0.4
26,306,0.5
26,316,0.6
26,326,0.5
26,336,0.5
26,346,0.55
26,356,0.45
26,366,0.5
26,370,0.6
31,166,0.55
31,176,0.6
31,186,0.6
31,196,0.5
31,206,0.5
31,216,0.6
31,226,0.55
31,236,0.5
31,246,0.55
31,256,0.5
31,266,0.55
31,276,0.55
31,286,0.5
31,296,0.55
31,306,0.55
31,316,0.55
31,326,0.4
31,336,0.55
31,346,0.6
31,356,0.5
31,366,0.5
31,370,0.5
36,166,0.55
36,176,0.5
36,186,0.55
36,196,0.5
36,206,0.55
36,216,0.55
36,226,0.6
36,236,0.5
36,246,0.5
36,256,0.55
36,266,0.5
36,276,0.5
36,286,0.5
36,296,0.5
36,306,0.55
36,316,0.5
36,326,0.5
36,336,0.5
36,346,0.55
36,356,0.5
36,366,0.55
36,370,0.5
41,166,0.55
41,176,0.5
41,186,0.45
41,196,0.55
41,206,0.6
41,216,0.5
41,226,0.5
41,236,0.55
41,246,0.5
41,256,0.5
41,266,0.45
41,276,0.5
41,286,0.55
41,296,0.55
41,306,0.5
41,316,0.5
41,326,0.55
41,336,0.55
41,346,0.5
41,356,0.5
41,366,0.45
41,370,0.5
46,166,0.5
46,176,0.5
46,186,0.55
46,196,0.5
46,206,0.5
46,216,0.5
46,226,0.5
46,236,0.5
46,246,0.55
46,256,0.5
46,266,0.55
46,276,0.5
46,286,0.55
46,296,0.55
46,306,0.55
46,316,0.45
46,326,0.6
46,336,0.5
46,346,0.55
46,356,0.5
46,366,0.5
46,370,0.5
51,166,0.6
51,176,0.5
51,186,0.5
51,196,0.55
51,206,0.5
51,216,0.5
51,226,0.55
51,236,0.6
51,246,0.5
51,256,0.55
51,266,0.5
51,276,0.5
51,286,0.55
51,296,0.55
51,306,0.6
51,316,0.5
51,326,0.4
51,336,0.55
51,346,0.5
51,356,0.5
51,366,0.5
51,370,0.55
56,166,0.55
56,176,0.5
56,186,0.5
56,196,0.55
56,206,0.5
56,216,0.6
56,226,0.55
56,236,0.5
56,246,0.6
56,256,0.65
56,266,0.5
56,276,0.5
56,286,0.5
56,296,0.5
56,306,0.55
56,316,0.55
56,326,0.5
56,336,0.5
56,346,0.5
56,356,0.55
56,366,0.5
56,370,0.5
61,166,0.5
61,176,0.4
61,186,0.55
61,196,0.5
61,206,0.55
61,216,0.6
61,226,0.55
61,236,0.6
61,246,0.6
61,256,0.6
61,266,0.6
61,276,0.55
61,286,0.5
61,296,0.5
61,306,0.55
61,316,0.55
61,326,0.55
61,336,0.6
61,346,0.55
61,356,0.55
61,366,0.6
61,370,0.55
66,166,0.55
66,176,0.55
66,186,0.55
66,196,0.55
66,206,0.55
66,216,0.5
66,226,0.5
66,236,0.5
66,246,0.5
66,256,0.55
66,266,0.6
66,276,0.6
66,286,0.6
66,296,0.6
66,306,0.6
