bri,mired,watt
1,153,0.5
1,163,0.4
1,173,0.3
1,183,0.3
1,193,0.3
1,203,0.4
1,213,0.3
1,223,0.3
1,233,0.4
1,243,0.3
1,253,0.4
1,263,0.6
1,273,0.6
1,283,0.6
1,293,0.6
1,303,0.6
1,313,0.6
1,323,0.6
1,333,0.6
1,343,0.6
1,353,0.6
1,363,0.6
1,370,0.6
6,153,0.5
6,163,0.4
6,173,0.3
6,183,0.3
6,193,0.3
6,203,0.3
6,213,0.6
6,223,0.6
6,233,0.6
6,243,0.6
6,253,0.6
6,263,0.6
6,273,0.6
6,283,0.6
6,293,0.6
6,303,0.6
6,313,0.6
6,323,0.6
6,333,0.6
6,343,0.6
6,353,0.6
6,363,0.6
6,370,0.6
11,153,0.5
11,163,0.4
11,173,0.3
11,183,0.5
11,193,0.6
11,203,0.6
11,213,0.6
11,223,0.6
11,233,0.6
11,243,0.6
11,253,0.6
11,263,0.6
11,273,0.6
11,283,0.6
11,293,0.6
11,303,0.6
11,313,0.6
11,323,0.6
11,333,0.6
11,343,0.6
11,353,0.6
11,363,0.6
11,370,0.6
16,153,0.5
16,163,0.4
16,173,0.6
16,183,0.6
16,193,0.6
16,203,0.6
16,213,0.6
16,223,0.6
16,233,0.6
16,243,0.6
16,253,0.6
16,263,0.6
16,273,0.6
16,283,0.6
16,293,0.6
16,303,0.6
16,313,0.6
16,323,0.6
16,333,0.6
16,343,0.6
16,353,0.6
16,363,0.6
16,370,0.6
21,153,0.5
21,163,0.4
21,173,0.5
21,183,0.6
21,193,0.6
21,203,0.6
21,213,0.6
21,223,0.6
21,233,0.6
21,243,0.6
21,253,0.6
21,263,0.6
21,273,0.6
21,283,0.6
21,293,0.6
21,303,0.6
21,313,0.6
21,323,0.6
21,333,0.6
21,343,0.6
21,353,0.6
21,363,0.6
21,370,0.7
26,153,0.5
26,163,0.3
26,173,0.6
26,183,0.6
26,193,0.6
26,203,0.6
26,213,0.6
26,223,0.6
26,233,0.6
26,243,0.6
26,253,0.6
26,263,0.6
26,273,0.6
26,283,0.6
26,293,0.6
26,303,0.6
26,313,0.6
26,323,0.7
26,333,0.6
26,343,0.7
26,353,0.7
26,363,0.7
26,370,0.7
31,153,0.6
31,163,0.6
31,173,0.6
31,183,0.6
31,193,0.6
31,203,0.6
31,213,0.6
31,223,0.6
31,233,0.6
31,243,0.6
31,253,0.6
31,263,0.6
31,273,0.6
31,283,0.7
31,293,0.7
31,303,0.6
31,313,0.7
31,323,0.7
31,333,0.7
31,343,0.7
31,353,0.7
31,363,0.7
31,370,0.7
36,153,0.6
36,163,0.6
36,173,0.6
36,183,0.6
36,193,0.6
36,203,0.6
36,213,0.6
36,223,0.6
36,233,0.6
36,243,0.6
36,253,0.6
36,263,0.6
36,273,0.6
36,283,0.6
36,293,0.7
36,303,0.7
36,313,0.7
36,323,0.7
36,333,0.7
36,343,0.7
36,353,0.7
36,363,0.8
36,370,0.8
41,153,0.6
41,163,0.6
41,173,0.6
41,183,0.6
41,193,0.6
41,203,0.6
41,213,0.6
41,223,0.6
41,233,0.6
41,243,0.6
41,253,0.6
41,263,0.7
41,273,0.7
41,283,0.7
41,293,0.7
41,303,0.7
41,313,0.7
41,323,0.7
41,333,0.7
41,343,0.7
41,353,0.8
41,363,0.8
41,370,0.8
46,153,0.7
46,163,0.6
46,173,0.6
46,183,0.6
46,193,0.6
46,203,0.6
46,213,0.6
46,223,0.6
46,233,0.6
46,243,0.6
46,253,0.6
46,263,0.7
46,273,0.7
46,283,0.7
46,293,0.7
46,303,0.7
46,313,0.8
46,323,0.8
46,333,0.8
46,343,0.8
46,353,0.8
46,363,0.8
46,370,0.9
51,153,0.7
51,163,0.6
51,173,0.6
51,183,0.6
51,193,0.6
51,203,0.6
51,213,0.6
51,223,0.6
51,233,0.6
51,243,0.7
51,253,0.7
51,263,0.7
51,273,0.7
51,283,0.7
51,293,0.7
51,303,0.8
51,313,0.8
51,323,0.8
51,333,0.8
51,343,0.9
51,353,0.9
51,363,0.9
51,370,1.0
56,153,0.8
56,163,0.6
56,173,0.6
56,183,0.6
56,193,0.6
56,203,0.6
56,213,0.6
56,223,0.6
56,233,0.7
56,243,0.7
56,253,0.7
56,263,0.7
56,273,0.7
56,283,0.8
56,293,0.8
56,303,0.8
56,313,0.8
56,323,0.9
56,333,0.9
56,343,0.9
56,353,1.0
56,363,1.0
56,370,1.0
61,153,0.8
61,163,0.6
61,173,0.6
61,183,0.6
61,193,0.6
61,203,0.6
61,213,0.6
61,223,0.6
61,233,0.7
61,243,0.7
61,253,0.7
61,263,0.7
61,273,0.7
61,283,0.8
61,293,0.8
61,303,0.8
61,313,0.9
61,323,0.9
61,333,0.9
61,343,1.0
61,353,1.0
61,363,1.1
61,370,1.1
66,153,0.9
66,163,0.6
66,173,0.6
66,183,0.6
66,193,0.6
66,203,0.6
66,213,0.6
66,223,0.7
