bri,mired,watt
1,150,1.11
1,160,1.11
1,170,1.11
1,180,1.11
1,190,1.12
1,200,1.11
1,210,1.12
1,220,1.12
1,230,1.11
1,240,1.12
1,250,1.12
1,260,1.12
1,270,1.12
1,280,1.12
1,290,1.11
1,300,1.12
1,310,1.12
1,320,1.12
1,330,1.11
1,340,1.11
1,350,1.12
1,360,1.11
1,370,1.11
1,380,1.12
1,390,1.1
1,400,1.09
1,410,1.11
1,420,1.11
1,430,1.1
1,440,1.12
1,450,1.12
1,460,1.12
1,470,1.12
1,480,1.11
1,490,1.11
1,500,1.12
6,150,1.11
6,160,1.11
6,170,1.12
6,180,1.13
6,190,1.11
6,200,1.11
6,210,1.1
6,220,1.11
6,230,1.13
6,240,1.12
6,250,1.14
6,260,1.12
6,270,1.11
6,280,1.11
6,290,1.14
6,300,1.13
6,310,1.1
6,320,1.11
6,330,1.11
6,340,1.1
6,350,1.11
6,360,1.1
6,370,1.12
6,380,1.1
6,390,1.11
6,400,1.12
6,410,1.14
6,420,1.12
6,430,1.12
6,440,1.1
6,450,1.11
6,460,1.11
6,470,1.11
6,480,1.11
6,490,1.11
6,500,1.13
11,150,1.11
11,160,1.14
11,170,1.12
11,180,1.1
11,190,1.11
11,200,1.1
11,210,1.12
11,220,1.11
11,230,1.12
11,240,1.14
11,250,1.12
11,260,1.12
11,270,1.12
11,280,1.12
11,290,1.11
11,300,1.12
11,310,1.1
11,320,1.11
11,330,1.11
11,340,1.12
11,350,1.12
11,360,1.12
11,370,1.1
11,380,1.12
11,390,1.11
11,400,1.11
11,410,1.11
11,420,1.11
11,430,1.11
11,440,1.11
11,450,1.12
11,460,1.1
11,470,1.11
11,480,1.12
11,490,1.11
11,500,1.1
16,150,1.12
16,160,1.14
16,170,1.14
16,180,1.12
16,190,1.14
16,200,1.11
16,210,1.13
16,220,1.12
16,230,1.13
16,240,1.13
16,250,1.13
16,260,1.14
16,270,1.13
16,280,1.11
16,290,1.13
16,300,1.12
16,310,1.13
16,320,1.15
16,330,1.11
16,340,1.14
16,350,1.12
16,360,1.12
16,370,1.11
16,380,1.12
16,390,1.12
16,400,1.11
16,410,1.14
16,420,1.13
16,430,1.12
16,440,1.11
16,450,1.11
16,460,1.11
16,470,1.11
16,480,1.12
16,490,1.11
16,500,1.13
21,150,1.13
21,160,1.16
21,170,1.14
21,180,1.15
21,190,1.14
21,200,1.14
21,210,1.15
21,220,1.15
21,230,1.12
21,240,1.15
21,250,1.14
21,260,1.16
21,270,1.15
21,280,1.14
21,290,1.13
21,300,1.15
21,310,1.16
21,320,1.13
21,330,1.13
21,340,1.14
21,350,1.15
21,360,1.16
21,370,1.15
21,380,1.14
21,390,1.13
21,400,1.13
21,410,1.14
21,420,1.13
21,430,1.12
21,440,1.12
21,450,1.12
21,460,1.13
21,470,1.13
21,480,1.12
21,490,1.12
21,500,1.12
26,150,1.13
26,160,1.16
26,170,1.18
26,180,1.16
26,190,1.16
26,200,1.18
26,210,1.16
26,220,1.17
26,230,1.19
26,240,1.18
26,250,1.17
26,260,1.18
26,270,1.17
26,280,1.18
26,290,1.17
26,300,1.16
26,310,1.16
26,320,1.18
26,330,1.17
26,340,1.16
26,350,1.17
26,360,1.16
26,370,1.16
26,380,1.15
26,390,1.16
26,400,1.15
26,410,1.14
26,420,1.12
26,430,1.15
26,440,1.15
26,450,1.15
26,460,1.11
26,470,1.13
26,480,1.14
26,490,1.13
26,500,1.11
31,150,1.18
31,160,1.21
31,170,1.19
31,180,1.2
31,190,1.22
31,200,1.19
31,210,1.2
31,220,1.2
31,230,1.2
31,240,1.19
31,250,1.2
31,260,1.21
31,270,1.19
31,280,1.19
31,290,1.2
31,300,1.2
31,310,1.2
31,320,1.21
31,330,1.19
31,340,1.18
31,350,1.18
31,360,1.2
31,370,1.2
31,380,1.2
31,390,1.2
31,400,1.16
31,410,1.16
31,420,1.17
31,430,1.16
31,440,1.16
31,450,1.16
31,460,1.14
31,470,1.15
31,480,1.16
31,490,1.13
31,500,1.15
36,150,1.19
36,160,1.22
36,170,1.22
36,180,1.22
36,190,1.23
36,200,1.22
36,210,1.21
36,220,1.23
36,230,1.24
36,240,1.24
36,250,1.21
36,260,1.23
36,270,1.22
36,280,1.23
36,290,1.2
36,300,1.23
36,310,1.22
36,320,1.22
36,330,1.22
36,340,1.22
36,350,1.23
36,360,1.21
36,370,1.21
36,380,1.21
36,390,1.2
36,400,1.18
36,410,1.17
36,420,1.17
36,430,1.18
36,440,1.17
36,450,1.17
36,460,1.18
36,470,1.15
36,480,1.18
36,490,1.16
36,500,1.15
41,150,0.82
41,160,1.26
41,170,1.26
41,180,1.25
41,190,1.25
41,200,1.26
41,210,1.26
41,220,1.26
41,230,1.27
41,240,1.28
41,250,1.25
41,260,1.25
41,270,1.25
41,280,1.26
41,290,1.27
41,300,1.26
41,310,1.25
41,320,1.27
41,330,1.25
41,340,1.27
41,350,1.24
41,360,1.27
41,370,1.26
41,380,1.24
41,390,1.21
41,400,1.24
41,410,1.23
41,420,1.21
41,430,1.19
41,440,1.2
41,450,1.21
41,460,1.18
41,470,1.17
41,480,1.19
41,490,1.18
41,500,1.14
46,150,1.22
46,160,1.3
46,170,1.29
46,180,1.29
46,190,1.31
46,200,1.31
46,210,1.3
46,220,1.32
46,230,1.28
46,240,1.3
46,250,1.29
46,260,1.32
46,270,1.3
46,280,1.28
46,290,1.29
46,300,1.28
