bri,mired,watt
1,150,0.75
1,160,0.4
1,170,0.4
1,180,0.7
1,190,0.8
1,200,0.75
1,210,0.85
1,220,1.1
1,230,1.0
1,240,1.4
1,250,1.3
1,260,0.95
1,270,0.95
1,280,1.0
1,290,0.85
1,300,0.85
1,310,0.5
1,320,0.5
1,330,0.6
1,340,0.7
1,350,1.25
1,360,1.15
1,370,1.1
1,380,1.1
1,390,1.15
1,400,1.4
1,410,1.5
1,420,1.3
1,430,1.2
1,440,1.25
1,450,1.25
1,460,1.2
1,470,0.8
1,480,0.7
1,490,1.2
1,500,1.1
6,150,1.05
6,160,0.8
6,170,0.9
6,180,0.9
6,190,0.9
6,200,1.2
6,210,1.25
6,220,1.3
6,230,1.2
6,240,1.2
6,250,1.4
6,260,1.2
6,270,1.2
6,280,1.05
6,290,0.95
6,300,0.9
6,310,3.3
6,320,1.6
6,330,1.65
6,340,1.55
6,350,1.5
6,360,1.7
6,370,1.6
6,380,1.9
6,390,1.85
6,400,1.7
6,410,1.75
6,420,1.2
6,430,1.4
6,440,1.5
6,450,1.2
6,460,1.55
6,470,1.6
6,480,1.45
6,490,1.45
6,500,1.65
11,150,0.9
11,160,0.5
11,170,0.7
11,180,1.0
11,190,0.8
11,200,0.9
11,210,0.9
11,220,0.9
11,230,1.3
11,240,1.3
11,250,1.2
11,260,1.3
11,270,1.05
11,280,1.05
11,290,1.75
11,300,1.6
11,310,1.4
11,320,1.75
11,330,1.65
11,340,1.55
11,350,1.45
11,360,1.55
11,370,1.7
11,380,2.1
11,390,1.9
11,400,1.75
11,410,1.65
11,420,1.7
11,430,1.85
11,440,1.3
11,450,1.6
11,460,1.75
11,470,1.8
11,480,1.75
11,490,1.9
11,500,2.4
16,150,1.6
16,160,1.5
16,170,1.5
16,180,1.85
16,190,1.95
16,200,1.75
16,210,1.75
16,220,1.75
16,230,2.0
16,240,2.1
16,250,2.1
16,260,2.1
16,270,1.9
16,280,1.95
16,290,2.0
16,300,1.8
16,310,1.4
16,320,1.4
16,330,1.6
16,340,1.5
16,350,2.0
16,360,1.9
16,370,1.9
16,380,1.95
16,390,1.85
16,400,2.1
16,410,2.0
16,420,2.0
16,430,2.1
16,440,1.75
16,450,1.9
16,460,1.8
16,470,1.95
16,480,1.85
16,490,1.3
16,500,1.5
21,150,2.0
21,160,1.95
21,170,1.95
21,180,1.85
21,190,1.9
21,200,1.9
21,210,1.5
21,220,1.3
21,230,1.4
21,240,1.5
21,250,1.55
21,260,1.55
21,270,1.6
21,280,1.7
21,290,2.0
21,300,1.9
21,310,2.1
21,320,2.1
21,330,2.0
21,340,1.95
21,350,1.9
21,360,1.9
21,370,2.05
21,380,1.7
21,390,1.5
21,400,1.5
21,410,1.4
21,420,1.75
21,430,1.7
21,440,1.7
21,450,1.65
21,460,1.6
21,470,1.9
21,480,1.8
21,490,1.9
21,500,1.9
26,150,1.7
26,160,1.7
26,170,1.75
26,180,2.2
26,190,2.2
26,200,2.2
26,210,2.2
26,220,1.85
26,230,1.8
26,240,1.8
26,250,1.85
26,260,1.9
26,270,1.8
26,280,1.6
26,290,1.7
26,300,2.2
26,310,2.0
26,320,2.1
26,330,2.05
26,340,2.05
26,350,2.2
26,360,2.2
26,370,2.3
26,380,2.3
26,390,1.9
26,400,2.05
26,410,2.05
26,420,2.05
26,430,2.05
26,440,1.8
26,450,1.9
26,460,1.7
26,470,1.8
26,480,2.05
26,490,2.1
26,500,2.0
31,150,1.9
31,160,1.9
31,170,1.8
31,180,1.7
31,190,1.8
31,200,1.7
31,210,1.85
31,220,1.85
31,230,2.0
31,240,1.95
31,250,2.1
31,260,2.1
31,270,1.85
31,280,1.75
31,290,1.65
31,300,1.85
