bri,mired,watt
1,153,0.6
1,163,0.6
1,173,0.55
1,183,0.6
1,193,0.6
1,203,0.6
1,213,0.6
1,223,0.6
1,233,0.6
1,243,0.6
1,253,0.55
1,263,0.55
1,273,0.6
1,283,0.65
1,293,0.5
1,303,0.6
1,313,0.6
1,323,0.6
1,333,0.6
1,343,0.7
1,353,0.6
1,363,0.6
1,373,0.6
1,383,0.6
1,393,0.5
1,403,0.6
1,413,0.6
1,423,0.5
1,433,0.6
1,443,0.6
1,453,0.6
1,454,0.6
6,153,0.55
6,163,0.6
6,173,0.55
6,183,0.55
6,193,0.65
6,203,0.6
6,213,0.6
6,223,0.6
6,233,0.6
6,243,0.55
6,253,0.65
6,263,0.6
6,273,0.55
6,283,0.6
6,293,0.6
6,303,0.55
6,313,0.6
6,323,0.6
6,333,0.6
6,343,0.55
6,353,0.6
6,363,0.55
6,373,0.5
6,383,0.55
6,393,0.6
6,403,0.55
6,413,0.6
6,423,0.6
6,433,0.55
6,443,0.6
6,453,0.6
6,454,0.6
11,153,0.6
11,163,0.55
11,173,0.5
11,183,0.6
11,193,0.5
11,203,0.55
11,213,0.55
11,223,0.6
11,233,0.6
11,243,0.55
11,253,0.65
11,263,0.6
11,273,0.6
11,283,0.6
11,293,0.5
11,303,0.6
11,313,0.6
11,323,0.6
11,333,0.65
11,343,0.6
11,353,0.6
11,363,0.6
11,373,0.6
11,383,0.6
11,393,0.6
11,403,0.6
11,413,0.65
11,423,0.65
11,433,0.6
11,443,0.6
11,453,0.6
11,454,0.6
16,153,0.65
16,163,0.55
16,173,0.65
16,183,0.6
16,193,0.6
16,203,0.6
16,213,0.6
16,223,0.65
16,233,0.6
16,243,0.65
16,253,0.65
16,263,0.55
16,273,0.7
16,283,0.55
16,293,0.6
16,303,0.55
16,313,0.5
16,323,0.65
16,333,0.65
16,343,0.6
16,353,0.6
16,363,0.6
16,373,0.6
16,383,0.6
16,393,0.65
16,403,0.6
16,413,0.55
16,423,0.65
16,433,0.65
16,443,0.55
16,453,0.5
16,454,0.6
21,153,0.6
21,163,0.6
21,173,0.6
21,183,0.6
21,193,0.65
21,203,0.6
21,213,0.6
21,223,0.6
21,233,0.6
21,243,0.65
21,253,0.6
21,263,0.6
21,273,0.65
21,283,0.6
21,293,0.65
21,303,0.6
21,313,0.55
21,323,0.6
21,333,0.65
21,343,0.6
21,353,0.6
21,363,0.6
21,373,0.6
21,383,0.6
21,393,0.7
21,403,0.65
21,413,0.6
21,423,0.65
21,433,0.55
21,443,0.6
21,453,0.65
21,454,0.6
26,153,0.6
26,163,0.6
26,173,0.6
26,183,0.6
26,193,0.6
26,203,0.6
26,213,0.65
26,223,0.65
26,233,0.65
26,243,0.55
26,253,0.6
26,263,0.65
26,273,0.65
26,283,0.65
26,293,0.65
26,303,0.6
26,313,0.7
26,323,0.65
26,333,0.6
26,343,0.6
26,353,0.7
26,363,0.7
26,373,0.65
26,383,0.65
26,393,0.65
26,403,0.6
26,413,0.6
26,423,0.65
26,433,0.6
26,443,0.55
26,453,0.6
26,454,0.55
31,153,0.6
31,163,0.65
31,173,0.7
31,183,0.7
31,193,0.65
31,203,0.7
31,213,0.65
31,223,0.65
31,233,0.7
31,243,0.7
31,253,0.65
31,263,0.65
31,273,0.7
31,283,0.6
31,293,0.65
31,303,0.6
31,313,0.6
31,323,0.65
31,333,0.65
31,343,0.65
31,353,0.7
31,363,0.65
31,373,0.7
31,383,0.6
31,393,0.6
31,403,0.65
31,413,0.6
31,423,0.65
31,433,0.55
31,443,0.6
31,453,0.65
31,454,0.65
36,153,0.7
36,163,0.6
36,173,0.65
36,183,0.6
36,193,0.6
36,203,0.7
36,213,0.7
36,223,0.7
36,233,0.7
36,243,0.6
36,253,0.7
36,263,0.65
36,273,0.65
36,283,0.7
36,293,0.65
36,303,0.7
36,313,0.7
36,323,0.7
36,333,0.65
36,343,0.65
36,353,0.7
36,363,0.7
36,373,0.6
36,383,0.7
36,393,0.65
36,403,0.65
36,413,0.6
36,423,0.7
36,433,0.6
36,443,0.6
36,453,0.6
36,454,0.65
41,153,0.65
41,163,0.65
41,173,0.6
41,183,0.6
41,193,0.7
41,203,0.7
41,213,0.7
41,223,0.7
41,233,0.7
41,243,0.8
41,253,0.7
41,263,0.7
41,273,0.7
41,283,0.6
41,293,0.75
41,303,0.7
41,313,0.7
41,323,0.7
41,333,0.7
41,343,0.7
41,353,0.7
41,363,0.65
41,373,0.7
41,383,0.65
41,393,0.7
41,403,0.65
41,413,0.7
41,423,0.65
41,433,0.65
41,443,0.65
41,453,0.6
41,454,0.6
46,153,0.65
46,163,0.7
46,173,0.7
46,183,0.7
46,193,0.7
46,203,0.7
46,213,0.8
46,223,0.75
46,233,0.7
46,243,0.7
46,253,0.8
46,263,0.7
46,273,0.7
46,283,0.7
46,293,0.75
46,303,0.7
46,313,0.7
46,323,0.7
46,333,0.7
46,343,0.7
46,353,0.7
46,363,0.7
46,373,0.7
46,383,0.75
46,393,0.65
46,403,0.75
46,413,0.65
46,423,0.65
46,433,0.7
46,443,0.65
46,453,0.65
46,454,0.65
51,153,0.65
51,163,0.75
51,173,0.7
51,183,0.7
51,193,0.7
51,203,0.7
51,213,0.7
51,223,0.75
51,233,0.7
51,243,0.7
51,253,0.8
51,263,0.75
51,273,0.75
51,283,0.75
51,293,0.75
51,303,0.7
51,313,0.7
51,323,0.7
51,333,0.7
51,343,0.75
51,353,0.7
51,363,0.7
51,373,0.75
51,383,0.7
51,393,0.65
51,403,0.7
51,413,0.7
51,423,0.65
51,433,0.7
51,443,0.7
51,453,0.7
51,454,0.6
56,153,0.75
56,163,0.7
56,173,0.75
56,183,0.75
56,193,0.75
56,203,0.75
56,213,0.75
56,223,0.75
56,233,0.8
56,243,0.8
56,253,0.75
56,263,0.75
56,273,0.8
56,283,0.8
56,293,0.75
56,303,0.85
56,313,0.8
56,323,0.8
56,333,0.8
56,343,0.75
56,353,0.75
56,363,0.75
56,373,0.8
56,383,0.7
56,393,0.75
56,403,0.8
56,413,0.65
56,423,0.7
56,433,0.7
56,443,0.65
56,453,0.75
56,454,0.7
61,153,0.75
61,163,0.75
61,173,0.8
61,183,0.85
61,193,0.8
61,203,0.7
61,213,0.75
61,223,0.85
61,233,0.8
61,243,0.75
61,253,0.8
61,263,0.8
61,273,0.8
61,283,0.8
61,293,0.8
61,303,0.8
61,313,0.8
61,323,0.8
61,333,0.8
61,343,0.85
61,353,0.8
61,363,0.8
61,373,0.75
61,383,0.8
61,393,0.7
61,403,0.7
61,413,0.8
61,423,0.7
61,433,0.75
61,443,0.75
61,453,0.75
61,454,0.7
66,153,0.8
66,163,0.8
66,173,0.8
66,183,0.75
66,193,0.85
66,203,0.8
66,213,0.85
66,223,0.85
66,233,0.85
66,243,0.85
66,253,0.8
66,263,0.85
66,273,0.8
66,283,0.9
66,293,0.9
66,303,0.8
66,313,0.85
66,323,0.85
66,333,0.9
66,343,0.8
66,353,0.9
66,363,0.8
66,373,0.8
66,383,0.8
66,393,0.8
66,403,0.8
66,413,0.75
66,423,0.8
66,433,0.8
66,443,0.8
66,453,0.75
66,454,0.75
71,153,0.75
71,163,0.8
71,173,0.8
71,183,0.8
71,193,0.8
71,203,0.8
71,213,0.9
71,223,0.9
71,233,0.9
71,243,0.9
71,253,0.9
71,263,0.9
71,273,0.9
71,283,0.9
71,293,0.8
71,303,0.9
71,313,0.85
71,323,0.9
71,333,0.9
71,343,0.85
71,353,0.85
71,363,0.9
71,373,0.85
71,383,0.85
71,393,0.8
71,403,0.8
